relative_time,AccX,AccY,AccZ
0,-0.8799605369567871,7.5272216796875,6.078068733215332
55,,7.466204643249512,6.686742782592773
56,-0.9370891451835632,,
123,-0.9041878581047058,7.439584732055664,6.451348781585693
189,,,6.242575168609619
190,-0.9125627279281616,7.499405384063721,
259,-1.0046863555908203,7.463811874389648,6.438487529754639
325,-1.0351948738098145,7.40399169921875,6.605985164642334
391,-1.036690354347229,7.474579811096191,6.289534091949463
460,-1.059422254562378,7.441379547119141,6.388537406921387
527,,,6.546164512634277
528,-1.0046863555908203,7.406683444976807,
595,,,6.450451850891113
597,-0.9744769930839539,7.453941822052002,
662,,,6.553941249847412
663,-1.0244271755218506,7.455437183380127,
728,-1.042074203491211,7.434200763702393,6.449255466461182
797,,,6.324230194091797
798,-1.012762188911438,7.392027378082275,
865,,,6.431009769439697
867,-0.96370929479599,7.328019142150879,
930,-0.9723833203315735,7.366902828216553,6.521338939666748
1000,,,6.480959892272949
1001,-1.0722836256027222,7.440781116485596,
1068,-1.0145567655563354,7.352844715118408,6.449255466461182
1132,,,6.27786922454834
1134,-1.1467602252960205,7.263712406158447,
1201,-0.6738786697387695,6.9236321449279785,6.300900459289551
1268,,6.7085771560668945,7.109973430633545
1269,0.046061836183071136,,
1336,,,7.706982612609863
1337,1.4673985242843628,6.530910491943359,
1403,,,7.858328819274902
1405,1.729711651802063,6.500102519989014,
1470,1.958226203918457,6.230311870574951,8.120343208312988
1539,2.544168710708618,6.3493547439575195,6.958926677703857
1606,,,7.852944850921631
1607,,6.0864434242248535,
1608,1.3698909282684326,,
1672,,,7.328916549682617
1673,,6.280561447143555,
1674,1.1781660318374634,,
1740,,,6.943971157073975
1741,0.8946165442466736,6.67507791519165,
1808,0.5587241053581238,6.521338939666748,7.2589263916015625
1875,2.352742910385132,4.9486565589904785,7.735696315765381
1943,,,6.613761901855469
1945,0.7109674215316772,5.038985252380371,
2008,,,6.359823703765869
2009,-0.7058826684951782,5.779563903808594,
2077,,,10.021141052246094
2078,-2.628216505050659,5.577669620513916,
2145,,3.399901866912842,9.2288179397583
2147,1.3776676654815674,,
2211,,,9.456435203552246
2213,-0.8799605369567871,3.9571304321289062,
2280,-2.0090737342834473,4.217051029205322,9.369994163513184
2348,,2.9557342529296875,8.483453750610352
2349,-0.4749752879142761,,
2416,-0.27367907762527466,1.3680963516235352,8.496614456176758
2482,,,9.976275444030762
2483,-1.8858433961868286,1.2337992191314697,
2549,-1.4982060194015503,2.2597219944000244,8.333602905273438
2617,-0.9936196208000183,2.7610182762145996,10.434202194213867
2683,-0.605085015296936,1.566102385520935,12.212069511413574
2750,,,11.5585298538208
2751,0.15463615953922272,2.3668007850646973,
2819,-0.036191441118717194,2.0476579666137695,10.952547073364258
2886,0.43160539865493774,2.2531416416168213,9.660123825073242
2952,,,9.921540260314941
2953,-2.365305185317993,3.7537405490875244,
3021,-4.3758745193481445,2.4487547874450684,12.681062698364258
3088,-4.3672003746032715,2.1098713874816895,9.010173797607422
