timestamp,AccX,AccY,AccZ
1665612183216,-0.8799605369567871,7.5272216796875,6.078068733215332
1665612183271,,7.466204643249512,6.686742782592773
1665612183272,-0.9370891451835632,,
1665612183339,-0.9041878581047058,7.439584732055664,6.451348781585693
1665612183405,,,6.242575168609619
1665612183406,-0.9125627279281616,7.499405384063721,
1665612183475,-1.0046863555908203,7.463811874389648,6.438487529754639
1665612183541,-1.0351948738098145,7.40399169921875,6.605985164642334
1665612183607,-1.036690354347229,7.474579811096191,6.289534091949463
1665612183676,-1.059422254562378,7.441379547119141,6.388537406921387
1665612183743,,,6.546164512634277
1665612183744,-1.0046863555908203,7.406683444976807,
1665612183811,,,6.450451850891113
1665612183813,-0.9744769930839539,7.453941822052002,
1665612183878,,,6.553941249847412
1665612183879,-1.0244271755218506,7.455437183380127,
1665612183944,-1.042074203491211,7.434200763702393,6.449255466461182
1665612184013,,,6.324230194091797
1665612184014,-1.012762188911438,7.392027378082275,
1665612184081,,,6.431009769439697
1665612184083,-0.96370929479599,7.328019142150879,
1665612184146,-0.9723833203315735,7.366902828216553,6.521338939666748
1665612184216,,,6.480959892272949
1665612184217,-1.0722836256027222,7.440781116485596,
1665612184284,-1.0145567655563354,7.352844715118408,6.449255466461182
1665612184348,,,6.27786922454834
1665612184350,-1.1467602252960205,7.263712406158447,
1665612184417,-0.6738786697387695,6.9236321449279785,6.300900459289551
1665612184484,,6.7085771560668945,7.109973430633545
1665612184485,0.046061836183071136,,
1665612184552,,,7.706982612609863
1665612184553,1.4673985242843628,6.530910491943359,
1665612184619,,,7.858328819274902
1665612184621,1.729711651802063,6.500102519989014,
1665612184686,1.958226203918457,6.230311870574951,8.120343208312988
1665612184755,2.544168710708618,6.3493547439575195,6.958926677703857
1665612184822,,,7.852944850921631
1665612184823,,6.0864434242248535,
1665612184824,1.3698909282684326,,
1665612184888,,,7.328916549682617
1665612184889,,6.280561447143555,
1665612184890,1.1781660318374634,,
1665612184956,,,6.943971157073975
1665612184957,0.8946165442466736,6.67507791519165,
1665612185024,0.5587241053581238,6.521338939666748,7.2589263916015625
1665612185091,2.352742910385132,4.9486565589904785,7.735696315765381
1665612185159,,,6.613761901855469
1665612185161,0.7109674215316772,5.038985252380371,
1665612185224,,,6.359823703765869
1665612185225,-0.7058826684951782,5.779563903808594,
1665612185293,,,10.021141052246094
1665612185294,-2.628216505050659,5.577669620513916,
1665612185361,,3.399901866912842,9.2288179397583
1665612185363,1.3776676654815674,,
1665612185427,,,9.456435203552246
1665612185429,-0.8799605369567871,3.9571304321289062,
1665612185496,-2.0090737342834473,4.217051029205322,9.369994163513184
1665612185564,,2.9557342529296875,8.483453750610352
1665612185565,-0.4749752879142761,,
1665612185632,-0.27367907762527466,1.3680963516235352,8.496614456176758
1665612185698,,,9.976275444030762
1665612185699,-1.8858433961868286,1.2337992191314697,
1665612185765,-1.4982060194015503,2.2597219944000244,8.333602905273438
1665612185833,-0.9936196208000183,2.7610182762145996,10.434202194213867
1665612185899,-0.605085015296936,1.566102385520935,12.212069511413574
1665612185966,,,11.5585298538208
1665612185967,0.15463615953922272,2.3668007850646973,
1665612186035,-0.036191441118717194,2.0476579666137695,10.952547073364258
1665612186102,0.43160539865493774,2.2531416416168213,9.660123825073242
1665612186168,,,9.921540260314941
1665612186169,-2.365305185317993,3.7537405490875244,
1665612186237,-4.3758745193481445,2.4487547874450684,12.681062698364258
1665612186304,-4.3672003746032715,2.1098713874816895,9.010173797607422
1665612186372,,1.7327027320861816,6.775576591491699
1665612186374,-4.157230377197266,,
1665612186452,-6.364310264587402,3.2063822746276855,4.775176525115967
1665612186521,-8.474480628967285,4.856532573699951,4.297808647155762
1665612186587,-8.052446365356445,4.6510491371154785,4.731806755065918
1665612186655,-8.052446365356445,2.4323041439056396,9.52193832397461
1665612186722,-7.782655715942383,0.7085745930671692,10.910673141479492
1665612186788,-5.469693660736084,0.5662016868591309,5.605485916137695
1665612186855,-6.907181739807129,0.8682954907417297,6.409773826599121
1665612186923,-6.442375659942627,0.6918248534202576,6.320042610168457
1665612186991,-5.172086238861084,1.0339984893798828,4.692923545837402
1665612187057,-5.159224510192871,1.4072787761688232,6.236593246459961
1665612187123,-5.925825119018555,2.0347964763641357,7.8287177085876465
1665612187187,-5.687141418457031,1.3073785305023193,12.84197998046875
1665612187254,-4.896313190460205,0.17198412120342255,15.052350044250488
1665612187324,-2.1568305492401123,0.048454657196998596,11.688041687011719
1665612187390,-0.24287149310112,-0.1537388563156128,8.397910118103027
1665612187457,-0.29730820655822754,-0.6227321028709412,10.297811508178711
1665612187524,,,8.211270332336426
1665612187525,-1.3992030620574951,0.8452646136283875,
1665612187591,-1.2675977945327759,1.0968101024627686,8.216055870056152
1665612187657,,,6.866503715515137
1665612187658,-1.0639088153839111,0.9457631707191467,
1665612187725,-3.0681967735290527,1.3037892580032349,8.975178718566895
1665612187792,-5.329414367675781,1.0630114078521729,12.35145092010498
1665612187860,-6.726523399353027,2.7652056217193604,10.2445707321167
1665612187925,,,10.945966720581055
1665612187926,-3.5859439373016357,0.09361918270587921,
1665612187992,-2.8956143856048584,-0.15972091257572174,8.202895164489746
1665612188061,-3.515953779220581,1.2481560707092285,6.7280192375183105
1665612188126,-2.2549362182617188,0.966401219367981,7.810173034667969
1665612188192,-1.9773688316345215,1.4192429780960083,8.40149974822998
1665612188261,-1.4970096349716187,1.2212368249893188,9.747760772705078
1665612188326,,1.3052847385406494,11.901301383972168
1665612188327,-0.776171863079071,,
1665612188394,,1.7829519510269165,13.897812843322754
1665612188395,-2.437688112258911,,
1665612188461,,1.8137595653533936,12.028420448303223
1665612188462,-2.347658157348633,,
1665612188528,-1.2373883724212646,0.905982494354248,10.518548965454102
1665612188596,-0.5018945336341858,0.7977072596549988,9.717850685119629
1665612188663,-0.46839502453804016,0.4794618487358093,9.277871131896973
1665612188731,,,7.101598739624023
1665612188732,-0.5138586759567261,0.5784648656845093,
1665612188814,-0.7528418302536011,1.4503495693206787,5.780760288238525
1665612188864,-1.2762718200683594,1.5056836605072021,8.164909362792969
1665612188947,-1.9794625043869019,1.6660027503967285,10.695019721984863
1665612189015,-3.712763547897339,2.0195422172546387,11.99791145324707
1665612189066,,,13.012767791748047
1665612189067,-1.7745771408081055,-0.1295115202665329,
1665612189145,,,11.225927352905273
1665612189146,-1.5490535497665405,-0.6963114142417908,
1665612189214,,0.13698910176753998,8.590831756591797
1665612189215,-2.4373888969421387,,
1665612189281,-1.9148563146591187,1.07826566696167,6.902994155883789
1665612189349,-2.1245274543762207,1.319043517112732,7.445566654205322
1665612189415,-2.2187447547912598,0.766002357006073,9.431011199951172
1665612189488,-1.425225019454956,0.9023932218551636,10.319645881652832
1665612189547,-0.6924230456352234,0.3487538993358612,13.32712459564209
1665612189616,,,13.699807167053223
1665612189617,-0.7256234884262085,0.9400802254676819,
1665612189683,-0.5210371017456055,0.2153540402650833,12.74866008758545
1665612189749,-1.1368898153305054,0.9897312521934509,9.347860336303711
1665612189815,-1.3301103115081787,0.47527438402175903,9.937093734741211
1665612189883,-1.3704891204833984,0.6843472719192505,7.712067604064941
1665612189947,,,6.314958095550537
1665612189948,-0.8437690734863281,1.1578270196914673,
1665612190016,,,7.121937274932861
