ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,22.85,12.15,2.91,48.89,25.7,4.01,23.19,7.29,12.37,5.08,69.64,2.92,2.36,1.48,0.89,1.44
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,24.95,12.35,2.91,42.42,25.31,4.56,17.11,6.96,10.75,3.79,71.43,3.01,2.44,1.55,0.95,1.48
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,24.1,12.24,2.88,46.8,26.32,4.13,20.48,7.92,11.04,3.12,70.44,2.99,2.39,1.51,0.92,1.46
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,26.3,12.52,3.05,43.36,24.05,4.03,19.31,6.87,10.04,3.17,72.9,3.1,2.5,1.6,1,1.52
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,24.76,11.86,2.81,40.06,22.03,3.75,18.03,6.61,11.75,5.14,72.31,3.07,2.47,1.58,0.98,1.5
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Nariño,Pasto,Ondulada,Franco arenoso,Transición sequía a lluvia,0,15,35,27.63,12.26,3.04,37.52,21.94,4.09,15.58,6.73,9.7,2.97,74.62,3.2,2.57,1.66,1.05,1.56
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,14.65,10.18,3.67,46.94,26.31,4.35,20.63,3.31,12.18,8.87,62.92,2.69,2.09,1.23,0.67,1.29
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,20,11.98,3.25,46.15,27.52,3.77,18.63,4.38,10.86,6.48,66.8,2.88,2.25,1.38,0.8,1.38
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Transición sequía a lluvia,5,20,35,17.58,10.21,3.18,48,27.25,4.52,20.75,3.73,12.43,8.7,64.95,2.78,2.17,1.31,0.74,1.34
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Sequía,5,20,35,10.69,10.13,3.07,51.3,28.32,4.75,22.98,3.18,9.97,6.79,59.13,2.46,1.93,1.09,0.53,1.2
