ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,16.85,11.66,2.49,49.05,27.63,5.23,21.42,6.55,11.43,4.89,64.25,2.65,2.14,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,14.84,11.7,2.74,52.06,28.72,5.45,23.34,6.3,10.34,4.04,62.31,2.57,2.06,1.21,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,23.34,12.82,2.43,44.85,26.54,4.99,18.31,6.3,9.61,3.32,69.76,2.9,2.37,1.49,0.9,1.45
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.45,11.37,2.26,51.42,28.8,5.37,22.62,5.87,9.13,3.27,65.16,2.68,2.18,1.32,0.74,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,16.39,11.67,1.79,56.48,33.4,6.39,23.08,5.27,9.67,4.4,62.07,2.56,2.05,1.2,0.64,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,16.33,11.81,2.02,55.75,33.48,5.77,22.27,5.31,10.01,4.7,62,2.55,2.05,1.2,0.63,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,19.36,11.59,1.92,52.66,31.85,5.88,20.81,5.38,9.69,4.31,64.93,2.7,2.17,1.31,0.74,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,16.95,11.65,1.85,55.78,33.13,5.71,22.65,5.58,9.82,4.23,62.6,2.59,2.07,1.22,0.66,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,20.2,12.12,2.07,52.9,31.94,5.88,20.96,4.69,8.55,3.86,65.57,2.73,2.2,1.33,0.76,1.35
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.88,11.73,1.99,54.14,31.5,5.8,22.64,5.09,9.42,4.33,64.65,2.68,2.16,1.3,0.73,1.33
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.01,10.97,2.3,49.99,30.56,5.24,19.43,6.27,11.36,5.09,64.26,2.67,2.14,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,20.13,12.1,2.17,51.67,31.51,5.53,20.16,5.37,9.41,4.05,65.65,2.74,2.2,1.34,0.76,1.35
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.51,10.43,1.92,56.86,32.97,6.52,23.89,4.23,7.12,2.89,63.9,2.65,2.13,1.27,0.7,1.31
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.93,11.14,2.16,51.12,29.65,6.16,21.47,5.72,9.8,4.08,65.28,2.7,2.18,1.32,0.75,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,17.86,11.17,2.43,51.58,29.3,5.33,22.28,6.55,10.56,4.01,64.53,2.67,2.15,1.29,0.72,1.33
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,19.49,11.28,2.11,52.21,31.4,5.97,20.81,5,8.53,3.53,65.17,2.71,2.18,1.32,0.74,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,13.6,11.03,2.47,56.32,31.19,6.22,25.13,4.36,8.86,4.51,60.54,2.46,1.99,1.14,0.58,1.24
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,15.42,11.04,2.52,52.71,29.39,5.84,23.32,5.59,9.86,4.27,62.56,2.56,2.07,1.22,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,24.52,11.85,2.04,42.51,24.52,5.27,17.99,5.66,10.88,5.23,71.34,2.94,2.43,1.55,0.95,1.48
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,20.11,11.09,2.01,48.84,27.2,5.14,21.64,5.47,11.04,5.57,66.99,2.76,2.25,1.39,0.81,1.38
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.88,10.84,1.79,58.33,34.55,6.57,23.78,3.85,7.27,3.42,62.1,2.56,2.05,1.2,0.64,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.9,11,1.9,57.44,32.67,6.71,24.77,3.17,6,2.82,62.71,2.56,2.08,1.23,0.66,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.65,10.71,1.8,59.26,32.96,7.22,26.3,3.29,6.04,2.74,62.42,2.55,2.07,1.21,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.6,10.19,1.72,60.23,34.25,7.31,25.98,2.88,5.74,2.86,61.97,2.55,2.05,1.2,0.63,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,17.05,11.06,1.97,58.04,31.46,6.73,26.58,2.7,5.27,2.57,63.21,2.59,2.1,1.24,0.68,1.3
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.86,10.23,1.6,59.95,32.42,7.32,27.53,1.97,4.74,2.77,62.76,2.58,2.08,1.23,0.66,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,14.67,10.97,2.83,53.31,26.8,5.31,26.51,5.52,9.29,3.77,62.78,2.56,2.08,1.23,0.66,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,18.9,10.68,1.87,57.55,30.19,6.58,27.36,3.45,5.54,2.09,65.08,2.67,2.18,1.32,0.74,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.16,10.55,1.67,59.29,35.79,7.11,23.5,2.82,7.82,5,61.14,2.5,2.01,1.17,0.6,1.25
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,15.2,12.29,2.28,56.94,34.26,6.75,22.68,4.53,10.03,5.5,60.85,2.48,2,1.15,0.59,1.24
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,16.45,11.51,2.03,58.41,35.4,6.82,23.01,4,8.54,4.54,61.49,2.52,2.03,1.18,0.62,1.26
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,70,19.75,11.37,1.87,50,31.15,5.56,18.85,5.37,11.38,6,65.46,2.69,2.19,1.33,0.75,1.35
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,19.35,12.31,2.08,51.89,32.63,5.99,19.26,4.9,10.06,5.16,64.67,2.66,2.16,1.3,0.73,1.33
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.78,12.54,2.33,51.97,31.37,5.71,20.6,5.45,10.18,4.72,64.62,2.67,2.16,1.3,0.73,1.33
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,22.29,12.27,2.05,41.15,24.61,4.45,16.54,6.18,13.07,6.89,69.54,2.86,2.36,1.48,0.89,1.44
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,20.23,12.78,2.05,45.31,27.98,4.75,17.33,5.97,11.99,6.02,66.84,2.74,2.25,1.38,0.8,1.38
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,15.65,11.01,1.79,59.22,34.82,7.17,24.4,3.47,8.37,4.89,61.04,2.49,2.01,1.16,0.6,1.25
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,14.68,11.2,1.74,60.2,35.43,7.16,24.77,3.39,8.28,4.89,60.07,2.45,1.97,1.12,0.57,1.23
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,16.54,11.52,1.77,56.93,32.98,6.91,23.95,4.24,7.58,3.33,62.32,2.54,2.06,1.21,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,14.35,9.66,1.6,59.45,33.71,6.78,25.74,3.68,8.62,4.94,60.35,2.46,1.98,1.14,0.58,1.23
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,20.17,12.91,2.29,50.64,30.19,5.65,20.45,4.9,9.1,4.19,66.09,2.74,2.22,1.35,0.78,1.36
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.9,12.56,1.83,55.82,33.51,6.79,22.31,2.95,7.88,4.93,64.04,2.63,2.13,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,17.42,13.06,2.37,53.32,29.69,5.75,23.63,5.22,9.54,4.32,64.06,2.61,2.13,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,17.48,12.57,2.18,54.11,30.75,6.08,23.36,4.34,8.67,4.33,63.77,2.59,2.12,1.27,0.7,1.31
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,20.68,13.08,1.92,55.24,30.43,6.44,24.81,2.7,7.09,4.39,66.42,2.76,2.23,1.37,0.79,1.37
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,15.57,11.22,2.09,54.62,28.53,6.66,26.09,5,9.59,4.58,62.95,2.55,2.09,1.23,0.67,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,18.86,12.21,1.85,54.92,30.43,6.49,24.49,3.65,7.63,3.98,64.97,2.65,2.17,1.31,0.74,1.34
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,42,21.1,13.19,2.11,50.34,27.75,5.75,22.59,4.68,8.89,4.21,67.6,2.78,2.28,1.41,0.83,1.4
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,11.52,8.98,1.75,63.29,39.69,8.38,23.6,5.55,9.55,4,56.21,2.3,1.81,0.97,0.43,1.14
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.57,10.01,1.79,62.38,36.81,7.65,25.57,5.29,8.9,3.61,57.95,2.38,1.88,1.04,0.49,1.18
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.33,11.11,2.03,62.89,37.68,8.6,25.21,4.85,8.18,3.33,57.49,2.35,1.87,1.02,0.47,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,11.44,8.4,1.4,65.75,41.78,9.18,23.97,5.74,8.97,3.22,55.48,2.28,1.78,0.94,0.4,1.12
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.19,11.52,1.96,62.28,37.86,9.39,24.42,4.58,7.95,3.37,57.32,2.32,1.86,1.02,0.47,1.16
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.69,11.91,2.15,61.09,39.16,8.76,21.93,4.46,8.11,3.65,58.11,2.37,1.89,1.05,0.5,1.18
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.17,11.47,1.99,62.34,38.52,8.74,23.82,4.34,7.6,3.27,57.09,2.32,1.85,1.01,0.46,1.16
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,11.95,10.24,1.74,63.27,38.13,8.39,25.14,5.17,9.13,3.97,57.04,2.34,1.85,1.01,0.46,1.16
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.18,9.59,1.53,62.72,38.96,8.35,23.76,5.7,8.71,3,57.76,2.37,1.88,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.85,9.88,1.78,63.67,38.29,7.91,25.38,5.49,9.33,3.84,57.71,2.37,1.87,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.53,8.54,1.54,64.03,39.22,7.86,24.81,4.94,8.99,4.05,57.16,2.34,1.85,1.01,0.46,1.16
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.08,9.31,1.59,62.24,38.67,7.86,23.57,5.35,9.89,4.54,57.77,2.36,1.88,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.51,11.57,2.13,62.12,37.6,8.98,24.52,4.83,8.26,3.43,57.66,2.36,1.87,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.31,10.38,1.99,61.05,36.07,7.82,24.98,5.81,8.22,2.42,58.78,2.42,1.92,1.07,0.52,1.2
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.28,8.93,1.67,63.57,40.18,8.25,23.39,5.39,9.25,3.86,56.66,2.32,1.83,0.99,0.44,1.15
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.51,9.67,1.69,61.6,37.86,7.47,23.74,5.7,9.67,3.97,58.37,2.39,1.9,1.06,0.5,1.19
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.89,8.54,1.59,62.69,38.61,7.79,24.08,5.83,9.68,3.85,57.64,2.36,1.87,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.03,9.03,1.67,64.89,40.15,8.47,24.74,5.63,8.72,3.09,56.47,2.32,1.82,0.98,0.43,1.14
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.64,9.75,1.66,62.53,39.12,7.83,23.41,5.88,9.43,3.55,58.08,2.38,1.89,1.05,0.49,1.18
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.51,9.19,1.6,63.03,38,7.97,25.03,6,9.46,3.46,57.53,2.36,1.87,1.03,0.47,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.56,9.93,1.71,62.92,38.42,7.86,24.5,6.04,9.16,3.12,58.24,2.4,1.9,1.05,0.5,1.18
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.91,7.92,1.59,62.52,38.15,7.69,24.37,5.3,10.44,5.14,57.8,2.37,1.88,1.04,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,13.54,10.03,1.64,62.94,39.41,8.39,23.53,5.45,8.38,2.93,57.91,2.39,1.88,1.04,0.49,1.18
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,10,0,49,12.51,9.73,1.72,62.57,37.54,7.33,25.03,5.6,9.61,4.01,57.67,2.36,1.87,1.03,0.48,1.17
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,12.17,56,14.12,10.76,1.95,58.57,33.82,7.32,24.75,6.26,10.85,4.59,60.13,2.47,1.97,1.13,0.57,1.23
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,15.33,56,13.88,10.65,1.95,59.03,35.1,7.33,23.93,5.92,9.85,3.93,59.54,2.44,1.95,1.1,0.55,1.21
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,9.67,56,14.57,10.58,1.76,61.34,36.31,7.43,25.03,4.16,8.42,4.25,59.71,2.44,1.96,1.11,0.55,1.22
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,18,56,15.54,11.13,2.2,55.31,30.83,6.08,24.48,4.47,7.82,3.35,62.2,2.55,2.06,1.21,0.64,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,15.5,56,17.44,11.57,2.21,54.72,31.76,5.92,22.96,6.21,8.58,2.37,63.43,2.62,2.11,1.25,0.68,1.3
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,13.2,56,16.47,12.54,2.31,51.44,29.29,5.71,22.15,5.36,9.47,4.11,63.43,2.61,2.11,1.25,0.68,1.3
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,13.2,56,15.58,10.8,2.25,58.18,32.16,6.32,26.02,4.75,6.99,2.25,61.82,2.54,2.04,1.19,0.63,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,21.5,56,14.03,10.95,2,58.47,31.97,6.29,26.5,4.31,7.28,2.97,60.64,2.47,1.99,1.15,0.59,1.24
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,13.7,56,13.86,10.41,1.96,58.52,30.67,6.04,27.85,4.22,7.29,3.07,60.91,2.49,2.01,1.16,0.6,1.25
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,17.3,56,16.1,10.98,2.06,58.42,34.47,6.91,23.95,5.11,7.19,2.08,61.5,2.54,2.03,1.18,0.62,1.26
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,17.33,56,14.36,10.29,1.92,60.97,34.19,6.71,26.78,4.05,6.73,2.68,60.2,2.47,1.98,1.13,0.57,1.23
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,15.67,56,17.04,11.41,1.98,58.2,33.02,6.62,25.18,4.02,6.26,2.24,62.71,2.58,2.08,1.23,0.66,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,17.33,49,17.86,10.42,2.16,57.68,32.99,6.64,24.69,4.32,6.82,2.51,63.37,2.64,2.11,1.25,0.68,1.3
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,14,49,16.03,10.8,2.26,56.22,31.25,6.26,24.97,5.6,8.07,2.46,62.46,2.58,2.07,1.22,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,14.33,49,16.26,10.72,2.01,57.9,32.19,6.58,25.71,4.91,6.88,1.97,62.35,2.58,2.06,1.21,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,19.67,49,16.48,10.51,2.11,58.4,33.17,6.53,25.23,4.62,6.41,1.78,62.22,2.57,2.06,1.21,0.64,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,20,49,16.69,11.62,2.25,57.96,32.05,6.21,25.91,5.74,7.55,1.81,62.74,2.59,2.08,1.23,0.66,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,20.33,49,20.03,11.7,2.11,55.99,31.2,6.26,24.79,4.2,6.46,2.26,65.67,2.74,2.2,1.34,0.76,1.35
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,12,49,15.71,10.15,2.15,58.59,33.13,6.68,25.46,5.17,7.24,2.07,61.62,2.53,2.03,1.18,0.62,1.26
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,12,49,16.28,11.31,2.23,57.25,31.91,6.27,25.34,5.06,7.37,2.31,62.45,2.58,2.07,1.22,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,8,14,49,21.22,11.09,2.24,50.12,31.17,5.85,18.95,5.74,9.17,3.43,66.62,2.79,2.24,1.37,0.79,1.38
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,19.67,49,15.54,9.83,1.9,60.83,37.99,7.43,22.84,3.8,7.55,3.75,59.95,2.48,1.97,1.12,0.56,1.22
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,12.67,49,16.6,9.96,2.08,55.36,32.88,6.85,22.48,5.23,9.67,4.44,62.4,2.58,2.07,1.21,0.65,1.28
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,19.33,49,18.22,10.82,2.01,55.51,32.74,6.32,22.77,4.87,8.14,3.27,63.74,2.64,2.12,1.26,0.7,1.31
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,14.67,49,16.25,9.9,1.95,59.74,35.72,6.98,24.02,4.45,8.47,4.03,61.23,2.53,2.02,1.17,0.61,1.25
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,17.67,49,16.49,10.7,2.27,56.67,33.43,6.77,23.24,5.04,8.79,3.74,62.14,2.58,2.06,1.2,0.64,1.27
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,15.5,49,17.43,10.47,2.09,56.72,31.82,6.4,24.9,5.1,7.83,2.73,63.4,2.62,2.11,1.25,0.68,1.3
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,19,49,15.86,9.29,1.9,59.64,33.73,7.11,25.91,4.73,7,2.27,61.55,2.55,2.03,1.18,0.62,1.26
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,13.17,49,17.74,11.07,2.24,53.43,30.96,5.76,22.47,6.06,8.92,2.86,63.92,2.67,2.13,1.27,0.7,1.31
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,17,49,17.73,11.21,2.13,55.65,30.07,6.04,25.58,5.78,8.21,2.42,64.19,2.64,2.14,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,13.67,28,17.8,10.31,2.15,56.09,33.82,6.38,22.27,5.66,8.9,3.24,63.06,2.63,2.09,1.24,0.67,1.29
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,13.33,28,18.79,10.51,2.03,55.5,33.83,6.43,21.67,5.28,8.65,3.37,63.85,2.67,2.13,1.27,0.7,1.31
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,13.5,28,19.48,10.5,2.02,56.46,32.93,6.31,23.53,4.42,7.23,2.81,64.68,2.69,2.16,1.3,0.73,1.33
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,15,42,18.7,10.89,2.12,54.3,32.32,6.04,21.98,5.65,8.56,2.91,64.25,2.67,2.14,1.28,0.71,1.32
"Kikuyo - Cenchrus clandestinus - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Lluvia,12,14,42,18.75,9.98,1.96,57.69,33.02,6.49,24.67,4.69,7.47,2.78,64.07,2.67,2.13,1.28,0.71,1.32
