departamento,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha
Atlantico,Polonuevo,Limon,2015,39,35,245,7
Atlantico,Luruaco,Limon,2015,35,4,100,25
Atlantico,Tubara,Limon,2015,25,7,28,4
Atlantico,Galapa,Limon,2015,15,10,160,16
Atlantico,Repelon,Limon,2015,15,13,104,8
Atlantico,Usiacuri,Limon,2015,8,6,60,10
Atlantico,Sabanagrande,Limon,2015,7,4,60,15
Atlantico,Baranoa,Limon,2015,5,5,32,7
Bolivar,Clemencia,Limon,2015,30,30,360,12
Bolivar,San estanislao,Limon,2015,21,21,216,10.3
Bolivar,Santa rosa,Limon,2015,20,15,105,7
Bolivar,Turbana,Limon,2015,15,15,150,10
Bolivar,Santa catalina,Limon,2015,2,2,21,14
Boyaca,Puerto boyaca,Limon,2015,50,46,920,20
Boyaca,Sativanorte,Limon,2015,6,5,15,3
Boyaca,Soata,Limon,2015,5,2,29,14.5
Caldas,La dorada,Limon,2015,72,25,325,13
Caldas,Viterbo,Limon,2015,49,37,666,18
Caqueta,Morelia,Limon,2015,2,1,5,5
Casanare,Tauramena,Limon,2015,17,15,233,15.5
Casanare,Monterrey,Limon,2015,3,1,7,7
Cauca,Buenos aires,Limon,2015,57,54,81,1.5
Cauca,Padilla,Limon,2015,9,8,64,8
Cauca,Villa rica,Limon,2015,5,5,80,16
Cesar,El copey,Limon,2015,65,40,600,15
Cesar,Valledupar,Limon,2015,20,20,240,12
Cesar,San diego,Limon,2015,17,17,119,7
Cordoba,San jose de ure,Limon,2015,10,10,80,8
Cordoba,Chinu,Limon,2015,9,9,9,1
Cordoba,Momil,Limon,2015,6,6,6,1
Cundinamarca,La mesa,Limon,2015,740,706,7060,10
Cundinamarca,San bernardo,Limon,2015,118,105,714,6.8
Cundinamarca,Anapoima,Limon,2015,96,80,520,6.5
Cundinamarca,Tibacuy,Limon,2015,38,21,189,9
Cundinamarca,Ricaurte,Limon,2015,32,25,100,4
Cundinamarca,San juan de rioseco,Limon,2015,20,10,35,3.5
Cundinamarca,Narino,Limon,2015,12,6,30,5
Cundinamarca,Puerto salgar,Limon,2015,6,6,24,4
Guainia,Inirida,Limon,2015,11,5,13,2.5
La guajira,Dibulla,Limon,2015,46,46,230,5
La guajira,Fonseca,Limon,2015,22,17,85,5
La guajira,Riohacha,Limon,2015,20,20,100,5
La guajira,Urumita,Limon,2015,18,16,96,6
La guajira,Barrancas,Limon,2015,7,7,28,4
La guajira,San juan del cesar,Limon,2015,7,7,21,3
La guajira,Distraccion,Limon,2015,5,5,25,5
La guajira,La jagua del pilar,Limon,2015,5,5,20,4
La guajira,El molino,Limon,2015,3,3,9,3
La guajira,Villanueva,Limon,2015,1,1,2,2
Narino,El penol,Limon,2015,153,150,1500,10
Narino,El rosario,Limon,2015,129,109,1090,10
Narino,Taminango,Limon,2015,77,62,298,4.8
Narino,San lorenzo,Limon,2015,65,15,38,2.53
Narino,El tambo,Limon,2015,12,11,66,6
Narino,Alban,Limon,2015,10,5,20,4
Narino,Policarpa,Limon,2015,6,3,15,5
Narino,Guaitarilla,Limon,2015,5,5,32,7
Norte de santander,Cucuta,Limon,2015,400,400,4280,10.7
Norte de santander,Cucutilla,Limon,2015,44,42,498,12
Norte de santander,Salazar,Limon,2015,9,9,72,8
Norte de santander,Durania,Limon,2015,4,4,11,2.8
Santander,Lebrija,Limon,2015,300,200,3000,15
Santander,Barrancabermeja,Limon,2015,291,264,3427,13
Santander,San vicente de chucuri,Limon,2015,99,99,693,7
Santander,Jesus maria,Limon,2015,63,48,528,11
Santander,Piedecuesta,Limon,2015,39,28,224,8
Santander,Rionegro,Limon,2015,39,31,496,16
Santander,Jordan,Limon,2015,14,11,46,4.2
Santander,Capitanejo,Limon,2015,10,7,56,8
Santander,Chima,Limon,2015,7,4,84,21
Sucre,Covenas,Limon,2015,7,3,2,0.8
Sucre,San benito abad,Limon,2015,4,4,24,6
Sucre,Morroa,Limon,2015,3,3,7,2.8
Sucre,Chalan,Limon,2015,2,2,1,0.6
Tolima,Guamo,Limon,2015,1096,1080,16200,15
Tolima,Natagaima,Limon,2015,450,450,3375,7.5
Tolima,Flandes,Limon,2015,447,427,4697,11
Tolima,Mariquita,Limon,2015,384,380,3040,8
Tolima,Espinal,Limon,2015,230,130,2340,18
