departamento,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha
Norte de santander,Bochalema,Mandarina,2007,21,21,412,19.6
Norte de santander,Ocana,Mandarina,2007,10,9,180,20
Risaralda,Pereira,Mandarina,2007,59,59,1475,25
Risaralda,Balboa,Mandarina,2007,6,3,1,0.33
Santander,San gil,Mandarina,2007,394,317,7420,23.41
Santander,Palmas del socorro,Mandarina,2007,331,144,3285,22.81
Santander,Socorro,Mandarina,2007,292,225,2858,12.7
Tolima,Falan,Mandarina,2007,85,80,720,9
Tolima,Icononzo,Mandarina,2007,60,60,2040,34
Tolima,Melgar,Mandarina,2007,55,45,185,4.11
Tolima,Purificacion,Mandarina,2007,19,16,128,8
Tolima,Piedras,Mandarina,2007,11,11,95,8.64
Valle del cauca,Andalucia,Mandarina,2007,136,136,3028,22.26
Valle del cauca,Cartago,Mandarina,2007,36,35,138,3.94
Amazonas,Leticia,Mandarina,2008,8,3,23,7.67
Amazonas,Puerto narino,Mandarina,2008,5,2,15,7.5
Antioquia,Caracoli,Mandarina,2008,1,1,3,3
Antioquia,Tamesis,Mandarina,2008,1,1,4,4
Boyaca,Soata,Mandarina,2008,12,7,14,2
Boyaca,Pajarito,Mandarina,2008,7,6,36,6
Boyaca,Chiscas,Mandarina,2008,6,5,25,5
Boyaca,Tipacoque,Mandarina,2008,2,2,8,5
Cauca,Villa rica,Mandarina,2008,4,2,18,9
Cundinamarca,Sasaima,Mandarina,2008,300,200,2400,12
Cundinamarca,Anolaima,Mandarina,2008,286,265,3445,13
Cundinamarca,Viota,Mandarina,2008,264,250,2700,10.8
Cundinamarca,Tena,Mandarina,2008,112,105,1176,11.2
Cundinamarca,Pandi,Mandarina,2008,80,32,280,8.75
Cundinamarca,El colegio,Mandarina,2008,50,50,600,12
Cundinamarca,Medina,Mandarina,2008,45,15,160,10.67
Cundinamarca,Puli,Mandarina,2008,3,3,30,10
Norte de santander,Sardinata,Mandarina,2008,255,250,3500,14
Norte de santander,Chinacota,Mandarina,2008,98,96,1901,19.91
Norte de santander,Durania,Mandarina,2008,97,96,760,7.96
Norte de santander,Teorama,Mandarina,2008,59,21,210,10
Norte de santander,Lourdes,Mandarina,2008,38,38,570,15
Norte de santander,Arboledas,Mandarina,2008,24,24,240,10
Norte de santander,Bochalema,Mandarina,2008,21,21,412,19.6
Norte de santander,Ocana,Mandarina,2008,10,9,135,15
Risaralda,Pereira,Mandarina,2008,34,34,510,15
Risaralda,Balboa,Mandarina,2008,8,3,1,0.33
Santander,San gil,Mandarina,2008,286,247,7410,30
Santander,Palmas del socorro,Mandarina,2008,264,183,4575,25
Santander,Socorro,Mandarina,2008,135,120,1525,12.71
Santander,Oiba,Mandarina,2008,5,4,60,15
Santander,Galan,Mandarina,2008,4,4,89,24
Tolima,Falan,Mandarina,2008,80,80,720,9
Tolima,Icononzo,Mandarina,2008,60,60,2100,35
Tolima,Melgar,Mandarina,2008,60,35,420,12
Tolima,Purificacion,Mandarina,2008,14,12,90,7.5
Tolima,Suarez,Mandarina,2008,14,14,10,0.7
Tolima,Piedras,Mandarina,2008,11,11,95,8.64
Tolima,Espinal,Mandarina,2008,2,2,2,0.9
Valle del cauca,Andalucia,Mandarina,2008,224,189,3281,17.36
Valle del cauca,Cartago,Mandarina,2008,36,35,138,3.94
Vichada,Cumaribo,Mandarina,2008,39,24,88,3.67
Antioquia,Caracoli,Mandarina,2009,1,1,4,4
Boyaca,Pauna,Mandarina,2009,230,230,1840,8
Boyaca,Soata,Mandarina,2009,35,7,21,3
Caldas,Viterbo,Mandarina,2009,47,8,128,16
Caqueta,Montanita,Mandarina,2009,15,10,100,10
Cauca,Villa rica,Mandarina,2009,10,5,53,10.6
Cundinamarca,Sasaima,Mandarina,2009,300,300,3000,10
Cundinamarca,Anolaima,Mandarina,2009,283,273,2730,10
Cundinamarca,Viota,Mandarina,2009,267,250,2850,11.4
Cundinamarca,Tena,Mandarina,2009,114,105,1260,12
Cundinamarca,El colegio,Mandarina,2009,65,50,600,12
Cundinamarca,Pandi,Mandarina,2009,61,35,420,12
Cundinamarca,Medina,Mandarina,2009,45,16,140,8.75
Cundinamarca,Puli,Mandarina,2009,3,2,18,10
Cundinamarca,Jerusalen,Mandarina,2009,2,2,8,4
Norte de santander,Sardinata,Mandarina,2009,256,255,3825,15
Norte de santander,Durania,Mandarina,2009,97,97,770,7.98
Norte de santander,Chinacota,Mandarina,2009,93,93,1860,20
Norte de santander,Teorama,Mandarina,2009,69,21,210,10
Norte de santander,Lourdes,Mandarina,2009,38,38,570,15
Norte de santander,Arboledas,Mandarina,2009,24,24,240,10
Norte de santander,Bochalema,Mandarina,2009,21,21,412,19.6
Norte de santander,Ocana,Mandarina,2009,11,10,135,13.5
Risaralda,Pereira,Mandarina,2009,30,30,417,13.9
Risaralda,Balboa,Mandarina,2009,8,6,3,0.5
Santander,Rionegro,Mandarina,2009,2235,1745,15690,8.99
Santander,Lebrija,Mandarina,2009,1590,1590,19080,12
Santander,Suaita,Mandarina,2009,520,457,11425,25
Santander,Barichara,Mandarina,2009,357,287,4879,17
Santander,San vicente de chucuri,Mandarina,2009,310,42,192,4.57
Santander,San gil,Mandarina,2009,288,268,4020,15
Santander,El playon,Mandarina,2009,250,250,1750,7
Santander,Socorro,Mandarina,2009,138,133,3325,25
Santander,San benito,Mandarina,2009,122,70,1398,20
Santander,Palmas del socorro,Mandarina,2009,110,45,1125,25
Santander,Pinchote,Mandarina,2009,55,45,495,11
Santander,Hato,Mandarina,2009,42,39,585,15
Santander,Chima,Mandarina,2009,40,40,400,10
Santander,Guapota,Mandarina,2009,39,34,204,6
Santander,Confines,Mandarina,2009,37,32,716,22.38
Santander,Aratoca,Mandarina,2009,22,20,160,8
Santander,Landazuri,Mandarina,2009,20,17,340,20
Santander,Piedecuesta,Mandarina,2009,18,18,324,18
Santander,Oiba,Mandarina,2009,6,4,60,15
Santander,Galan,Mandarina,2009,5,3,45,15
Tolima,Melgar,Mandarina,2009,137,110,1009,9.17
Tolima,Cajamarca,Mandarina,2009,56,56,672,12
Tolima,Coyaima,Mandarina,2009,22,20,70,3.5
Tolima,Icononzo,Mandarina,2009,15,3,75,25
Tolima,Purificacion,Mandarina,2009,14,14,98,7
Tolima,Piedras,Mandarina,2009,10,10,200,20
Tolima,Suarez,Mandarina,2009,10,10,140,14
Valle del cauca,Andalucia,Mandarina,2009,169,162,1442,8.9
Valle del cauca,Cartago,Mandarina,2009,36,13,47,3.7
Vichada,Cumaribo,Mandarina,2009,45,31,110,3.55
Antioquia,Caracoli,Mandarina,2010,1,1,4,4
Boyaca,Pauna,Mandarina,2010,230,230,1840,8
Boyaca,Tunungua,Mandarina,2010,40,34,510,15
Boyaca,Soata,Mandarina,2010,35,9,27,3
Boyaca,Otanche,Mandarina,2010,8,8,16,2
Caldas,Palestina,Mandarina,2010,116,95,1140,12
Caldas,Viterbo,Mandarina,2010,48,45,720,16
Caldas,Supia,Mandarina,2010,1,1,15,15
Caqueta,Montanita,Mandarina,2010,17,10,100,10
Casanare,Tauramena,Mandarina,2010,25,20,60,3
Cauca,Villa rica,Mandarina,2010,15,8,88,11
Cundinamarca,Sasaima,Mandarina,2010,300,250,2700,10.8
Cundinamarca,Viota,Mandarina,2010,279,248,2750,11.09
Cundinamarca,Anolaima,Mandarina,2010,268,254,2540,10
Cundinamarca,Tena,Mandarina,2010,115,110,1226,11.2
Cundinamarca,El colegio,Mandarina,2010,71,51,612,12
Cundinamarca,Puli,Mandarina,2010,3,2,22,11
Narino,Ipiales,Mandarina,2010,3,3,15,5
Norte de santander,Sardinata,Mandarina,2010,256,256,3840,15.03
Norte de santander,Durania,Mandarina,2010,97,96,764,8
Norte de santander,Chinacota,Mandarina,2010,93,93,1860,20
Norte de santander,Teorama,Mandarina,2010,69,69,690,10
Norte de santander,Lourdes,Mandarina,2010,38,38,570,15
Norte de santander,Arboledas,Mandarina,2010,27,24,287,11.96
Norte de santander,Bochalema,Mandarina,2010,21,21,412,19.6
Norte de santander,Ocana,Mandarina,2010,10,10,150,15
Risaralda,Pereira,Mandarina,2010,29,29,406,14
Risaralda,Balboa,Mandarina,2010,8,8,4,0.5
Santander,Rionegro,Mandarina,2010,2265,2225,20025,9
Santander,Lebrija,Mandarina,2010,1570,1570,18840,12
Santander,Suaita,Mandarina,2010,590,520,15600,30
Santander,Guepsa,Mandarina,2010,506,5,75,15
Santander,San vicente de chucuri,Mandarina,2010,320,56,261,4.66
Santander,San gil,Mandarina,2010,318,277,4155,15
Santander,El playon,Mandarina,2010,255,250,1500,6
Santander,Socorro,Mandarina,2010,160,138,3864,28
Santander,Barichara,Mandarina,2010,151,113,2025,18
Santander,San benito,Mandarina,2010,145,110,2200,20
Santander,Palmas del socorro,Mandarina,2010,138,60,1740,29
Santander,Landazuri,Mandarina,2010,100,20,400,20
Santander,Pinchote,Mandarina,2010,63,51,555,10.88
Santander,Chima,Mandarina,2010,40,40,1600,40
Santander,Aratoca,Mandarina,2010,21,19,152,8
Santander,Guapota,Mandarina,2010,21,21,252,12
Santander,Piedecuesta,Mandarina,2010,16,16,176,11
Santander,Guadalupe,Mandarina,2010,10,6,90,15
Santander,Oiba,Mandarina,2010,8,5,75,15
Santander,Galan,Mandarina,2010,6,4,96,24
Santander,Puente nacional,Mandarina,2010,6,5,50,10
Tolima,Cajamarca,Mandarina,2010,56,56,680,12.14
Tolima,Melgar,Mandarina,2010,55,50,550,11
Tolima,Coyaima,Mandarina,2010,22,20,70,3.5
Tolima,Purificacion,Mandarina,2010,16,14,112,8
Tolima,Suarez,Mandarina,2010,5,5,50,10
Valle del cauca,Andalucia,Mandarina,2010,135,123,3185,26
Valle del cauca,Cartago,Mandarina,2010,36,13,47,3.7
Vichada,Cumaribo,Mandarina,2010,51,22,330,15
Antioquia,Caracoli,Mandarina,2011,1,1,4,4
Boyaca,Pauna,Mandarina,2011,238,238,1904,8
Boyaca,Tunungua,Mandarina,2011,41,35,525,15
Boyaca,Soata,Mandarina,2011,36,9,27,3
Boyaca,Otanche,Mandarina,2011,8,8,16,2
Boyaca,Chiscas,Mandarina,2011,2,2,2,1
Caldas,Palestina,Mandarina,2011,120,98,1182,12
Caldas,Viterbo,Mandarina,2011,63,57,912,16
Caldas,Supia,Mandarina,2011,2,2,70,35
Caqueta,Montanita,Mandarina,2011,17,10,100,10
Casanare,Tauramena,Mandarina,2011,12,12,23,2
Casanare,Monterrey,Mandarina,2011,5,4,20,5
Cauca,Villa rica,Mandarina,2011,15,12,132,11
Cundinamarca,Viota,Mandarina,2011,279,279,1395,5
Cundinamarca,Anolaima,Mandarina,2011,250,232,2320,10
Cundinamarca,Tena,Mandarina,2011,116,111,1238,11.2
Cundinamarca,Sasaima,Mandarina,2011,100,100,1100,11
Cundinamarca,El colegio,Mandarina,2011,88,51,408,8
Cundinamarca,Tibacuy,Mandarina,2011,11,10,90,9
Norte de santander,Sardinata,Mandarina,2011,256,256,3066,12
Norte de santander,Durania,Mandarina,2011,94,94,752,8
Norte de santander,Chinacota,Mandarina,2011,93,93,1395,15
Norte de santander,Teorama,Mandarina,2011,69,69,690,10
Norte de santander,Lourdes,Mandarina,2011,38,38,570,15
Norte de santander,Arboledas,Mandarina,2011,28,25,300,12
Norte de santander,Bochalema,Mandarina,2011,19,19,285,15
Norte de santander,Ocana,Mandarina,2011,9,9,135,15
Risaralda,Pereira,Mandarina,2011,189,189,7568,40
Risaralda,Marsella,Mandarina,2011,30,15,234,15.3
Risaralda,Balboa,Mandarina,2011,8,8,48,6
Santander,Rionegro,Mandarina,2011,2348,2307,20763,9
Santander,Lebrija,Mandarina,2011,1630,1630,19560,12
Santander,Suaita,Mandarina,2011,612,539,16170,30
Santander,San vicente de chucuri,Mandarina,2011,332,58,273,4.7
Santander,San gil,Mandarina,2011,326,288,4320,15
Santander,El playon,Mandarina,2011,230,225,1125,5
Santander,Barichara,Mandarina,2011,168,135,2018,15
Santander,Socorro,Mandarina,2011,166,143,4004,28
Santander,Palmas del socorro,Mandarina,2011,153,90,2565,28.5
Santander,San benito,Mandarina,2011,150,114,2280,20
Santander,Landazuri,Mandarina,2011,104,21,420,20
Santander,Pinchote,Mandarina,2011,64,51,555,10.88
Santander,Guapota,Mandarina,2011,42,39,390,10
Santander,Chima,Mandarina,2011,41,38,684,18
Santander,Guadalupe,Mandarina,2011,24,17,255,15
Santander,Piedecuesta,Mandarina,2011,16,16,176,11
Santander,Curiti,Mandarina,2011,14,9,81,9
Santander,Galan,Mandarina,2011,8,6,144,24
Santander,Oiba,Mandarina,2011,8,5,75,15
Santander,Puente nacional,Mandarina,2011,5,5,50,10
Santander,Palmar,Mandarina,2011,3,2,26,13
Tolima,Melgar,Mandarina,2011,60,45,495,11
Tolima,Purificacion,Mandarina,2011,16,15,110,7.33
Tolima,Honda,Mandarina,2011,1,1,10,10
Valle del cauca,Andalucia,Mandarina,2011,135,125,3250,26
Valle del cauca,Cartago,Mandarina,2011,36,23,87,3.7
Valle del cauca,Trujillo,Mandarina,2011,6,3,12,4
Vichada,Cumaribo,Mandarina,2011,50,26,260,10
Antioquia,Caracoli,Mandarina,2012,1,1,2,2
Boyaca,Pauna,Mandarina,2012,235,234,1872,8
Boyaca,Tunungua,Mandarina,2012,41,36,540,15
Boyaca,Soata,Mandarina,2012,36,10,30,3
Boyaca,Chiscas,Mandarina,2012,2,2,3,1.5
Boyaca,Otanche,Mandarina,2012,2,2,8,4
Caldas,Palestina,Mandarina,2012,122,100,1200,12
Caldas,Viterbo,Mandarina,2012,66,57,912,16
Caldas,Supia,Mandarina,2012,4,2,70,35
Caldas,Manzanares,Mandarina,2012,2,1,5,5
Caqueta,Montanita,Mandarina,2012,17,10,80,8
Casanare,Monterrey,Mandarina,2012,6,5,30,6
Cauca,Villa rica,Mandarina,2012,15,15,210,14
Cauca,Padilla,Mandarina,2012,7,3,16,6
Cundinamarca,Anolaima,Mandarina,2012,249,227,1589,7
Cundinamarca,Viota,Mandarina,2012,186,186,558,3
Cundinamarca,Tena,Mandarina,2012,121,115,1102,9.6
Cundinamarca,Sasaima,Mandarina,2012,100,80,400,5
Cundinamarca,El colegio,Mandarina,2012,89,88,704,8
Cundinamarca,Tibacuy,Mandarina,2012,16,12,84,7
Norte de santander,Sardinata,Mandarina,2012,255,255,3060,12
Norte de santander,Chinacota,Mandarina,2012,93,93,1302,14
Norte de santander,Durania,Mandarina,2012,91,91,728,8
Norte de santander,Teorama,Mandarina,2012,69,69,690,10
Norte de santander,Lourdes,Mandarina,2012,30,30,240,8
Norte de santander,Arboledas,Mandarina,2012,28,27,216,8
Norte de santander,Bochalema,Mandarina,2012,19,19,285,15
Norte de santander,Ocana,Mandarina,2012,12,9,90,10
Risaralda,Pereira,Mandarina,2012,198,189,7568,40
Santander,Rionegro,Mandarina,2012,2485,2235,26820,12
Santander,Lebrija,Mandarina,2012,1660,1500,18000,12
Santander,Suaita,Mandarina,2012,1150,1150,34500,30
Santander,San gil,Mandarina,2012,329,311,4665,15
Santander,San vicente de chucuri,Mandarina,2012,328,58,273,4.7
Santander,Landazuri,Mandarina,2012,242,242,968,4
Santander,Socorro,Mandarina,2012,205,142,3976,28
Santander,Barichara,Mandarina,2012,173,141,2115,15
Santander,San benito,Mandarina,2012,169,130,319,2.45
Santander,Palmas del socorro,Mandarina,2012,156,126,2961,23.5
Santander,Pinchote,Mandarina,2012,66,51,555,10.88
Santander,Chima,Mandarina,2012,48,10,180,18
Santander,Guapota,Mandarina,2012,34,34,340,10
Santander,Piedecuesta,Mandarina,2012,16,16,176,11
Santander,Curiti,Mandarina,2012,15,15,15,1
Santander,Oiba,Mandarina,2012,12,10,160,16
Santander,Puente nacional,Mandarina,2012,6,6,60,10
Santander,Confines,Mandarina,2012,2,2,44,22
Tolima,Melgar,Mandarina,2012,73,53,583,11
Tolima,Honda,Mandarina,2012,40,40,240,6
Tolima,Venadillo,Mandarina,2012,22,18,198,11
Valle del cauca,Cartago,Mandarina,2012,39,36,180,5
Valle del cauca,Andalucia,Mandarina,2012,31,31,1116,36
Valle del cauca,Yumbo,Mandarina,2012,13,12,120,10
Valle del cauca,Trujillo,Mandarina,2012,5,4,60,15
Vaupes,Mitu,Mandarina,2012,10,5,20,4
Antioquia,Caracoli,Mandarina,2013,1,1,2,2
Boyaca,Pauna,Mandarina,2013,240,235,1880,8
Boyaca,Soata,Mandarina,2013,36,10,30,3
Boyaca,Tunungua,Mandarina,2013,30,30,450,15
Boyaca,Otanche,Mandarina,2013,2,2,8,4
Caldas,Palestina,Mandarina,2013,118,115,1380,12
Caldas,Viterbo,Mandarina,2013,95,77,1232,16
Caldas,Manzanares,Mandarina,2013,2,2,8,5
Caqueta,Montanita,Mandarina,2013,17,10,80,8
Caqueta,Solano,Mandarina,2013,3,2,2,1
Casanare,Tamara,Mandarina,2013,6,4,5,1.4
Cauca,Mercaderes,Mandarina,2013,15,14,86,6
Cauca,Villa rica,Mandarina,2013,13,11,154,14
Cauca,Padilla,Mandarina,2013,6,6,42,7
Cundinamarca,Anolaima,Mandarina,2013,250,227,1589,7
Cundinamarca,Viota,Mandarina,2013,196,186,558,3
Cundinamarca,Tena,Mandarina,2013,124,116,1114,9.6
Cundinamarca,Sasaima,Mandarina,2013,100,100,500,5
Cundinamarca,El colegio,Mandarina,2013,89,85,680,8
Cundinamarca,Tibacuy,Mandarina,2013,27,12,84,7
Narino,La llanada,Mandarina,2013,3,1,10,10
Narino,Guaitarilla,Mandarina,2013,3,3,5,2
Norte de santander,Sardinata,Mandarina,2013,255,255,2545,10
Norte de santander,Chinacota,Mandarina,2013,93,93,1302,14
Norte de santander,Lourdes,Mandarina,2013,30,30,240,8
Norte de santander,Arboledas,Mandarina,2013,28,28,224,8
Norte de santander,Bochalema,Mandarina,2013,19,19,285,15
Norte de santander,Durania,Mandarina,2013,19,19,152,8
Norte de santander,Ocana,Mandarina,2013,15,12,120,10
Norte de santander,Los patios,Mandarina,2013,12,12,216,18
Norte de santander,Cucutilla,Mandarina,2013,9,7,74,10.57
Norte de santander,Bucarasica,Mandarina,2013,5,5,70,14
Risaralda,Pereira,Mandarina,2013,180,145,5804,40
Risaralda,Balboa,Mandarina,2013,8,8,120,15
Santander,Rionegro,Mandarina,2013,2755,2340,28080,12
Santander,Lebrija,Mandarina,2013,1660,1550,18600,12
Santander,Suaita,Mandarina,2013,1165,1150,34500,30
Santander,San gil,Mandarina,2013,331,311,4043,13
Santander,Landazuri,Mandarina,2013,242,242,968,4
Santander,El playon,Mandarina,2013,230,225,1125,5
Santander,Socorro,Mandarina,2013,229,170,4760,28
Santander,Barichara,Mandarina,2013,170,160,2400,15
Santander,San benito,Mandarina,2013,169,169,3380,20
Santander,Palmas del socorro,Mandarina,2013,156,130,3055,23.5
Santander,Pinchote,Mandarina,2013,57,40,434,10.85
Santander,San vicente de chucuri,Mandarina,2013,56,56,672,12
Santander,Chima,Mandarina,2013,48,10,180,18
Santander,Guapota,Mandarina,2013,34,34,340,10
Santander,Aratoca,Mandarina,2013,17,12,108,9
Santander,Piedecuesta,Mandarina,2013,16,16,176,11
Santander,Barrancabermeja,Mandarina,2013,15,10,107,10.5
Santander,Curiti,Mandarina,2013,15,15,135,9
Santander,Oiba,Mandarina,2013,14,12,192,16
Santander,Concepcion,Mandarina,2013,8,8,40,5
Santander,Puente nacional,Mandarina,2013,6,6,60,10
Santander,Confines,Mandarina,2013,4,4,77,22
Tolima,Melgar,Mandarina,2013,103,60,660,11
Tolima,Honda,Mandarina,2013,40,40,240,6
Tolima,Venadillo,Mandarina,2013,22,18,198,11
Vichada,Cumaribo,Mandarina,2013,52,35,350,10
Vichada,La primavera,Mandarina,2013,4,2,8,5
Vichada,Santa rosalia,Mandarina,2013,2,1,7,10
Antioquia,Caracoli,Mandarina,2014,1,1,2,2
Boyaca,Pauna,Mandarina,2014,241,202,1818,9
Boyaca,Tunungua,Mandarina,2014,27,27,405,15
Boyaca,Soata,Mandarina,2014,8,4,8,2
Boyaca,Otanche,Mandarina,2014,2,2,8,4
Caldas,Palestina,Mandarina,2014,475,200,2400,12
Caldas,Viterbo,Mandarina,2014,110,78,1356,17.38
Caldas,Manzanares,Mandarina,2014,1,1,7,6
Caqueta,Montanita,Mandarina,2014,17,10,80,8
Casanare,Tamara,Mandarina,2014,6,4,6,1.4
Cauca,Puerto tejada,Mandarina,2014,25,25,875,35
Cauca,Villa rica,Mandarina,2014,13,11,165,15
Cauca,Mercaderes,Mandarina,2014,9,9,18,2.05
Cauca,Padilla,Mandarina,2014,7,4,20,5
Cauca,Buenos aires,Mandarina,2014,3,1,5,5
Cundinamarca,Anolaima,Mandarina,2014,253,226,1808,8
Cundinamarca,Viota,Mandarina,2014,196,186,558,3
Cundinamarca,Tena,Mandarina,2014,125,109,870,8
Cundinamarca,Sasaima,Mandarina,2014,100,100,500,5
Cundinamarca,El colegio,Mandarina,2014,91,82,656,8
Cundinamarca,Tibacuy,Mandarina,2014,29,12,84,7
Cundinamarca,San juan de rioseco,Mandarina,2014,18,11,66,6
Cundinamarca,Vergara,Mandarina,2014,6,6,48,8
Norte de santander,Sardinata,Mandarina,2014,257,255,2545,10
Norte de santander,Lourdes,Mandarina,2014,90,90,840,9.33
Norte de santander,Ocana,Mandarina,2014,27,15,150,10
Norte de santander,Los patios,Mandarina,2014,12,12,216,18
Norte de santander,Durania,Mandarina,2014,6,5,45,10
Risaralda,Pereira,Mandarina,2014,169,162,4860,30
Risaralda,Balboa,Mandarina,2014,8,8,120,15
Santander,Rionegro,Mandarina,2014,2736,2030,24360,12
Santander,Lebrija,Mandarina,2014,1683,1403,16836,12
Santander,Suaita,Mandarina,2014,1165,1150,34500,30
Santander,San gil,Mandarina,2014,336,311,4043,13
Santander,El playon,Mandarina,2014,250,250,1250,5
Santander,Landazuri,Mandarina,2014,245,245,1470,6
Santander,Socorro,Mandarina,2014,229,170,4420,26
Santander,San benito,Mandarina,2014,199,179,2685,15
Santander,Barichara,Mandarina,2014,170,160,2400,15
Santander,San vicente de chucuri,Mandarina,2014,110,74,1110,15
Santander,Giron,Mandarina,2014,85,25,400,16
Santander,Pinchote,Mandarina,2014,60,50,525,10.5
Santander,Chima,Mandarina,2014,50,33,594,18
Santander,Guapota,Mandarina,2014,34,34,340,10
Santander,Aratoca,Mandarina,2014,22,15,150,10
Santander,Barrancabermeja,Mandarina,2014,18,15,152,10
Santander,Curiti,Mandarina,2014,16,12,180,15
Santander,Oiba,Mandarina,2014,15,15,240,16
Santander,Concepcion,Mandarina,2014,8,8,128,16
Santander,Puente nacional,Mandarina,2014,6,6,60,10
Santander,Confines,Mandarina,2014,5,4,76,19
Tolima,Melgar,Mandarina,2014,103,50,500,10
Tolima,Honda,Mandarina,2014,40,40,240,6
Tolima,Venadillo,Mandarina,2014,22,22,220,10
Antioquia,Caracoli,Mandarina,2015,1,1,2,2
Boyaca,Pauna,Mandarina,2015,280,235,2820,12
Boyaca,Tunungua,Mandarina,2015,27,27,405,15
Boyaca,Soata,Mandarina,2015,7,3,42,14
Boyaca,Otanche,Mandarina,2015,2,2,8,4
Caldas,Palestina,Mandarina,2015,214,200,2400,12
Caldas,Viterbo,Mandarina,2015,120,70,840,12
Caldas,Manzanares,Mandarina,2015,1,1,5,8
Caqueta,Montanita,Mandarina,2015,19,10,80,8
Casanare,Tamara,Mandarina,2015,6,4,6,1.4
Cauca,Puerto tejada,Mandarina,2015,26,26,910,35
Cauca,Villa rica,Mandarina,2015,13,13,260,20
Cauca,Mercaderes,Mandarina,2015,9,9,18,2.05
Cauca,Padilla,Mandarina,2015,6,6,39,6.5
Cauca,Buenos aires,Mandarina,2015,6,5,27,5
Cundinamarca,La mesa,Mandarina,2015,622,606,4848,8
Cundinamarca,Anolaima,Mandarina,2015,250,221,1547,7
Cundinamarca,Tena,Mandarina,2015,127,122,972,8
Cundinamarca,Anapoima,Mandarina,2015,107,97,679,7
Cundinamarca,Sasaima,Mandarina,2015,100,100,700,7
Cundinamarca,El colegio,Mandarina,2015,93,82,656,8
Cundinamarca,Tibacuy,Mandarina,2015,29,14,84,6
Cundinamarca,San juan de rioseco,Mandarina,2015,18,10,50,5
Cundinamarca,Vergara,Mandarina,2015,8,6,54,9
Norte de santander,Sardinata,Mandarina,2015,256,256,2555,10
Norte de santander,Ocana,Mandarina,2015,32,27,270,10
Norte de santander,Lourdes,Mandarina,2015,30,30,384,13
Norte de santander,Arboledas,Mandarina,2015,28,28,196,7
Norte de santander,Bucarasica,Mandarina,2015,20,15,210,14
Norte de santander,Bochalema,Mandarina,2015,19,19,372,19.6
Norte de santander,Durania,Mandarina,2015,17,17,132,8
Norte de santander,Los patios,Mandarina,2015,12,12,216,18
Norte de santander,Cucutilla,Mandarina,2015,8,8,90,12
Risaralda,Pereira,Mandarina,2015,169,162,4858,29.99
Risaralda,La virginia,Mandarina,2015,13,13,145,11.6
Risaralda,Balboa,Mandarina,2015,8,8,120,15
Santander,Rionegro,Mandarina,2015,3397,3146,32404,10.3
Santander,Lebrija,Mandarina,2015,1800,1680,20160,12
Santander,Suaita,Mandarina,2015,1633,1513,22695,15
Santander,San gil,Mandarina,2015,339,311,4043,13
Santander,El playon,Mandarina,2015,315,265,2650,10
Santander,Landazuri,Mandarina,2015,245,245,1519,6.2
Santander,San benito,Mandarina,2015,224,199,2985,15
Santander,Barichara,Mandarina,2015,210,170,850,5
Santander,Chima,Mandarina,2015,125,80,1680,21
Santander,Giron,Mandarina,2015,120,70,1120,16
Santander,San vicente de chucuri,Mandarina,2015,118,105,1365,13
Santander,Socorro,Mandarina,2015,90,65,2275,35
Santander,Guapota,Mandarina,2015,73,50,800,16
Santander,Pinchote,Mandarina,2015,61,50,525,10.5
Santander,Aratoca,Mandarina,2015,29,15,225,15
Santander,Curiti,Mandarina,2015,20,15,225,15
Santander,Barrancabermeja,Mandarina,2015,18,15,152,10
Santander,Oiba,Mandarina,2015,17,15,240,16
Santander,Piedecuesta,Mandarina,2015,16,16,128,8
Santander,Santa helena del opon,Mandarina,2015,7,7,70,10
Santander,Puente nacional,Mandarina,2015,6,6,60,10
Santander,Confines,Mandarina,2015,3,3,39,13
Tolima,Melgar,Mandarina,2015,128,50,1250,25
Tolima,Honda,Mandarina,2015,40,40,240,6
Tolima,Venadillo,Mandarina,2015,25,22,132,6
Antioquia,Caracoli,Mandarina,2016,1,1,2,2
Boyaca,Pauna,Mandarina,2016,208,180,1800,10
Boyaca,Tunungua,Mandarina,2016,28,27,405,15
Boyaca,Otanche,Mandarina,2016,12,2,8,4
Boyaca,Soata,Mandarina,2016,7,3,42,14
Boyaca,Sativanorte,Mandarina,2016,1,1,13,12.5
Caldas,Viterbo,Mandarina,2016,17,17,442,26
Caqueta,Montanita,Mandarina,2016,16,11,88,8
Cauca,Puerto tejada,Mandarina,2016,26,26,910,35
Cauca,Villa rica,Mandarina,2016,14,13,156,12
Cauca,Mercaderes,Mandarina,2016,10,9,23,2.5
Cauca,Padilla,Mandarina,2016,4,3,12,4
Cundinamarca,La mesa,Mandarina,2016,619,609,4872,8
Cundinamarca,Tocaima,Mandarina,2016,450,300,450,1.5
Cundinamarca,Anolaima,Mandarina,2016,250,240,1680,7
Cundinamarca,Yacopi,Mandarina,2016,200,190,950,5
Cundinamarca,Tena,Mandarina,2016,128,122,854,7
Cundinamarca,Apulo,Mandarina,2016,120,110,770,7
Cundinamarca,Anapoima,Mandarina,2016,108,106,1272,12
Cundinamarca,Sasaima,Mandarina,2016,100,100,700,7
Cundinamarca,El colegio,Mandarina,2016,92,83,623,7.5
Cundinamarca,Tibacuy,Mandarina,2016,32,32,189,6
Cundinamarca,San juan de rioseco,Mandarina,2016,17,12,60,5
