subregion,periodo,municipio,area_total,area_produccion,volumen_produccion
Occidente,1997,Peque,836,821,615.8
Suroeste,1997,Pueblorrico,2263.1,2143.6,2786.7
Occidente,1997,Sabanalarga,1398,1384,1314.8
Suroeste,1997,Salgar,5587.4,4929.9,5669.4
Norte,1997,San Andrés De Cuerquia,1239,1214,1214
Oriente,1997,San Francisco,500,497,323.1
Occidente,1997,San Jerónimo,876,876,788.4
Oriente,1997,San Luis,1003.5,938.5,563.1
Oriente,1997,San Rafael,2068,2068,1757.8
Nordeste,1997,San Roque,1686,1663,2078.8
Suroeste,1997,Santa Bárbara,2700,2656,2324
Occidente,1997,Santa Fe De Antioquia,1417,1390,1084.2
Norte,1997,Santa Rosa De Osos,160,147,117.6
Nordeste,1997,Santo Domingo,1667,1587,1587
Oriente,1997,Sonsón,3788,3621,2896.8
Occidente,1997,Sopetrán,1203,1198,1078.2
Suroeste,1997,Támesis,2790,2514,2262.6
Suroeste,1997,Tarso,2425,2410,2711.3
Suroeste,1997,Titiribí,1460,1460,1168
Norte,1997,Toledo,921,851,637.2
Occidente,1997,Uramita,1218,1213,1031.1
Suroeste,1997,Urrao,934,864,864
Suroeste,1997,Valparaiso,807,787,472.2
Nordeste,1997,Vegachí,671.7,651.7,362.3
Suroeste,1997,Venecia,1395,1395,1813.5
Nordeste,1997,Yalí,314,314,172.7
Norte,1997,Yarumal,834,802.2,641.8
Nordeste,1997,Yolombó,1886,1824,1276.8
Oriente,1998,Abejorral,5048,4498,4947.8
Occidente,1998,Abriaquí,103,92,55.2
Oriente,1998,Alejandría,569,559,559
Suroeste,1998,Amagá,1055,955,1069.6
Nordeste,1998,Amalfi,2281,2082,2061.2
Suroeste,1998,Andes,6496.5,4981.8,4981.8
Suroeste,1998,Angelópolis,592,580,754
Norte,1998,Angostura,942,886,717.7
Nordeste,1998,Anorí,220,215,241.9
Occidente,1998,Anzá,1301,1253,1002.4
Oriente,1998,Argelia,2775,2713,2984.3
Occidente,1998,Armenia,830,812,365.4
Suroeste,1998,Betania,5990,4590,5163.8
Suroeste,1998,Betulia,4122,3507,4033.1
Norte,1998,Briceño,835,835,730.6
Occidente,1998,Buriticá,936,926,648.2
Occidente,1998,Caicedo,1144,1124,992.5
Norte,1998,Campamento,232,220,220
Occidente,1998,Cañasgordas,2520,2427,1213.5
Magdalena Medio,1998,Caracolí,22,22,11
Suroeste,1998,Caramanta,1232,1230,922.5
Nordeste,1998,Cisneros,275,260,325
Suroeste,1998,Ciudad Bolívar,8424,7666,12265.6
Oriente,1998,Cocorná,1460,1340,1474
Oriente,1998,Concepción,100,100,50
Suroeste,1998,Concordia,5392.4,4746.3,8543.3
Occidente,1998,Dabeiba,2000,1900,1900
Norte,1998,Don Matías,181,181,113.1
Occidente,1998,Ebéjico,1970,1758,1758
Oriente,1998,El Carmen De Viboral,335,324,194.4
Oriente,1998,El Peñol,453,453,407.7
Oriente,1998,El Retiro,157,157,188.4
Suroeste,1998,Fredonia,2715,2562,3330.6
Occidente,1998,Frontino,1250,1182.5,946
Occidente,1998,Giraldo,451,449,314.3
Norte,1998,Gómez Plata,534,524,419.2
Oriente,1998,Granada,1603,1547,1547
Norte,1998,Guadalupe,426,386,308.8
Occidente,1998,Heliconia,1425,1413,1483.7
Suroeste,1998,Hispania,1155,1155,924
Norte,1998,Ituango,3340,3190,2791.3
Suroeste,1998,Jardín,2327.5,2251.5,2870.7
Suroeste,1998,Jericó,4089,3842,4802.5
Oriente,1998,La Ceja,591,561,561
Occidente,1998,Liborina,1143,1016,711.2
Magdalena Medio,1998,Maceo,259,258,116.1
Suroeste,1998,Montebello,2037.3,1879,1879
Oriente,1998,Nariño,2592,2492,2242.8
Occidente,1998,Olaya,579.9,579.9,492.9
Occidente,1998,Peque,873,790,592.5
Suroeste,1998,Pueblorrico,1913,1441,1448.2
Occidente,1998,Sabanalarga,1388,1328,1062.4
Suroeste,1998,Salgar,5600.4,5233.9,6019
Norte,1998,San Andrés De Cuerquia,1238,1223,1223
Oriente,1998,San Carlos,1521.3,1521.3,1521.3
Oriente,1998,San Francisco,666,616,462
Occidente,1998,San Jerónimo,604,600,540
Oriente,1998,San Luis,1013.5,923.5,554.1
Oriente,1998,San Rafael,2069,2069,1779.3
Nordeste,1998,San Roque,1086,1000,1062
Suroeste,1998,Santa Bárbara,2730,2655,2655
Occidente,1998,Santa Fe De Antioquia,1422,1397,1089.7
Norte,1998,Santa Rosa De Osos,162,154,123.2
Nordeste,1998,Santo Domingo,1260,1257,1194.2
Oriente,1998,Sonsón,3809,3786,3407.4
Occidente,1998,Sopetrán,926.6,860.9,933.2
Suroeste,1998,Támesis,2746,2315,2778
Suroeste,1998,Tarso,1340,1189.2,1427
Suroeste,1998,Titiribí,1400,1310,1310
Norte,1998,Toledo,970,930,818.4
Occidente,1998,Uramita,1204,1199,899.3
Suroeste,1998,Urrao,934,864,1123.2
Suroeste,1998,Valparaiso,750,570,513
Nordeste,1998,Vegachí,437,430.4,188.1
Suroeste,1998,Venecia,1380,1360,1496
Nordeste,1998,Yalí,273,196,147
Norte,1998,Yarumal,381.5,381.5,305.2
Nordeste,1998,Yolombó,1888,1830,1281
Oriente,1999,Abejorral,5051,4776,2985
Occidente,1999,Abriaquí,116,74,44.4
Oriente,1999,Alejandría,604,519,519
Suroeste,1999,Amagá,1258,1005,904.5
Nordeste,1999,Amalfi,1465.4,1188.9,1177
Suroeste,1999,Andes,8635,6186.8,6565.4
Suroeste,1999,Angelópolis,587,578,257.2
Norte,1999,Angostura,954,932,754.9
Nordeste,1999,Anorí,223,218,196.2
Occidente,1999,Anzá,1293,1280,640
Oriente,1999,Argelia,2775,2755,2479.5
Occidente,1999,Armenia,830,799,719.1
Valle de Aburra,1999,Barbosa,1671,1651,1444.6
Valle de Aburra,1999,Bello,130,130,104
Suroeste,1999,Betania,5070,4285,4285
Suroeste,1999,Betulia,4118,3585,2688.8
Norte,1999,Briceño,736,664,581
Occidente,1999,Buriticá,755,753,514.3
Occidente,1999,Caicedo,1144,1070,856
Valle de Aburra,1999,Caldas,267.6,213.2,263.7
Norte,1999,Campamento,225,148,148
Occidente,1999,Cañasgordas,2517,2194,767.9
Magdalena Medio,1999,Caracolí,22,20,10
Suroeste,1999,Caramanta,1242.2,1062,531
Nordeste,1999,Cisneros,262,262,262
Suroeste,1999,Ciudad Bolívar,8430,7156,7871.6
Oriente,1999,Cocorná,1465,1285,1156.5
Oriente,1999,Concepción,105,100,80
Suroeste,1999,Concordia,5334.4,5159.4,6191.3
Valle de Aburra,1999,Copacabana,150,95,76
Occidente,1999,Dabeiba,2000,1820,1820
Norte,1999,Don Matías,238,181,100.5
Occidente,1999,Ebéjico,2192,1823,1458.4
Oriente,1999,El Carmen De Viboral,574,293,175.8
Oriente,1999,El Peñol,453,453,407.7
Oriente,1999,El Retiro,167,157,141.3
Suroeste,1999,Fredonia,2715,2562,3330.6
Occidente,1999,Frontino,1215,1210,968
Occidente,1999,Giraldo,451,433,378.9
Valle de Aburra,1999,Girardota,476,476,571.2
Norte,1999,Gómez Plata,550,524,524
Oriente,1999,Granada,1605,1583,1583
Norte,1999,Guadalupe,430,416,291.2
Occidente,1999,Heliconia,1425,1425,1282.5
Suroeste,1999,Hispania,1158,1155,924
Norte,1999,Ituango,3000,2830,3113
Suroeste,1999,Jardín,2333.5,2299.5,2931.9
Suroeste,1999,Jericó,2120.9,1846.6,1846.6
Oriente,1999,La Ceja,591,561,504.9
Occidente,1999,Liborina,1163,958,670.6
Magdalena Medio,1999,Maceo,229,229,103.1
Suroeste,1999,Montebello,2037.3,1941.7,1941.7
Oriente,1999,Nariño,2632,2319,2087.1
Occidente,1999,Olaya,579.9,579.9,492.9
Occidente,1999,Peque,873,813,609.8
Suroeste,1999,Pueblorrico,1913,1823,1823
Occidente,1999,Sabanalarga,1388,1358,1086.4
Valle de Aburra,1999,Sabaneta,162,162,145.8
Suroeste,1999,Salgar,5601.5,5474.6,6295.8
Norte,1999,San Andrés De Cuerquia,1061,951,1046.1
Oriente,1999,San Carlos,1521.3,1521.3,1369.2
Oriente,1999,San Francisco,666,666,466.2
Occidente,1999,San Jerónimo,604,604,543.6
Oriente,1999,San Luis,823.5,483.5,362.6
Oriente,1999,San Rafael,2069,2069,1779.3
Nordeste,1999,San Roque,1086,1001,1001
Suroeste,1999,Santa Bárbara,2730,2700,2700
Occidente,1999,Santa Fe De Antioquia,1457,1328,1278.2
Norte,1999,Santa Rosa De Osos,435,393,314.4
Nordeste,1999,Santo Domingo,1230,1154,1096.3
Oriente,1999,Sonsón,3650,2635,1581
Occidente,1999,Sopetrán,954,784.6,392.3
Suroeste,1999,Támesis,2746,2474,2474
Suroeste,1999,Tarso,1346,1329,1993.5
Suroeste,1999,Titiribí,1400,1330,1330
Norte,1999,Toledo,992.5,936.5,604
Occidente,1999,Uramita,1205,1189,594.5
Suroeste,1999,Urrao,1104,854,1110.2
Suroeste,1999,Valparaiso,852,537,483.3
Nordeste,1999,Vegachí,437,437,218.5
Suroeste,1999,Venecia,1280,1160,1276
Nordeste,1999,Yalí,285,253,189.8
Norte,1999,Yarumal,381.5,381.5,305.2
Nordeste,1999,Yolombó,1891,1886,1320.2
Oriente,2000,Abejorral,4325,3805,2378.1
Occidente,2000,Abriaquí,116,62,37.4
Oriente,2000,Alejandría,624,479,479
Suroeste,2000,Amagá,1278,955,859.5
Nordeste,2000,Amalfi,1467.8,1097.1,1086.1
Suroeste,2000,Andes,8635,5906.5,5315.9
Suroeste,2000,Angelópolis,587,560,168
Norte,2000,Angostura,966,942,763
Nordeste,2000,Anorí,223,220,198
Occidente,2000,Anzá,1268,1251,625.5
Oriente,2000,Argelia,1609,1409,1214.6
Occidente,2000,Armenia,748,644,579.6
Valle de Aburra,2000,Barbosa,1312,1180,1062
Valle de Aburra,2000,Bello,132,125,100
Suroeste,2000,Betania,5100,3922,3922
Suroeste,2000,Betulia,4123,4069,2441.4
Norte,2000,Briceño,736,664,581
Occidente,2000,Buriticá,753,751,525.7
Occidente,2000,Caicedo,1144,970,873
Valle de Aburra,2000,Caldas,262,162.4,146.2
Norte,2000,Campamento,270,115,115
Occidente,2000,Cañasgordas,2517,2202,770.7
Magdalena Medio,2000,Caracolí,22,18,9
Suroeste,2000,Caramanta,1250.2,1044,522
Nordeste,2000,Cisneros,267,262,262
Suroeste,2000,Ciudad Bolívar,8439,6394,7033.4
Oriente,2000,Cocorná,1465,1288,1197.8
Oriente,2000,Concepción,105,100,80
Suroeste,2000,Concordia,5284.5,4534.8,5441.8
Valle de Aburra,2000,Copacabana,120,35,31.5
Occidente,2000,Dabeiba,2000,1820,1820
Norte,2000,Don Matías,238,181,226.3
Occidente,2000,Ebéjico,2192,1823,1458.4
Oriente,2000,El Carmen De Viboral,574,271,162.6
Oriente,2000,El Peñol,450,450,405
Oriente,2000,El Retiro,172,157,157
Suroeste,2000,Fredonia,2865,2652,3447.6
Occidente,2000,Frontino,1204,1049,944.1
Occidente,2000,Giraldo,456,434,379.8
Valle de Aburra,2000,Girardota,456,436,392.4
Norte,2000,Gómez Plata,580,534,534
Oriente,2000,Granada,1603.5,1528,1528
Norte,2000,Guadalupe,430,426,298.2
Occidente,2000,Heliconia,1425,1425,1282.5
Suroeste,2000,Hispania,742,652,521.6
Valle de Aburra,2000,Itagui,49.4,33.8,30.4
Norte,2000,Ituango,3000,2920,3212
Suroeste,2000,Jardín,2341.5,2321.5,2959.9
Suroeste,2000,Jericó,2114,1706.6,1706.6
Oriente,2000,La Ceja,591,591,531.9
Valle de Aburra,2000,La Estrella,53.3,40,36
Occidente,2000,Liborina,1163,1008,705.6
Magdalena Medio,2000,Maceo,229,229,103.1
Valle de Aburra,2000,Medellín,1082,496,396.8
Suroeste,2000,Montebello,2037.3,2037.3,2037.3
Oriente,2000,Nariño,2632,2369,2132.1
Occidente,2000,Olaya,580,579.9,475.5
Occidente,2000,Peque,936,823,617.3
Suroeste,2000,Pueblorrico,1631,1496,1496
Occidente,2000,Sabanalarga,883.5,835.5,731.1
Valle de Aburra,2000,Sabaneta,162,162,129.6
Suroeste,2000,Salgar,5601.5,5532.1,6361.9
Norte,2000,San Andrés De Cuerquia,1061,956,1051.6
Oriente,2000,San Carlos,1521.3,1521.3,1369.2
Oriente,2000,San Francisco,666,666,466.2
Occidente,2000,San Jerónimo,602,598,478.4
Oriente,2000,San Luis,823.5,523.5,392.6
Oriente,2000,San Rafael,2069,2069,1779.3
Nordeste,2000,San Roque,1094,949,996.5
Suroeste,2000,Santa Bárbara,2862,1970,1633.1
Occidente,2000,Santa Fe De Antioquia,1507,1283,1235
Norte,2000,Santa Rosa De Osos,487,428,342.4
Nordeste,2000,Santo Domingo,1245,1154,1096.3
Oriente,2000,Sonsón,3531,2316,1852.8
Occidente,2000,Sopetrán,954,794.6,397.3
Suroeste,2000,Támesis,2757,2389,2389
Suroeste,2000,Tarso,1304,1135,1589
Suroeste,2000,Titiribí,979,913.3,913.3
Norte,2000,Toledo,992.5,951.5,613.7
Occidente,2000,Uramita,1200,1174,1056.6
Suroeste,2000,Urrao,1284,854,1110.2
Suroeste,2000,Valparaiso,854,637,573.3
Nordeste,2000,Vegachí,437,437,218.5
Suroeste,2000,Venecia,1354,1100,1210
Nordeste,2000,Yalí,285,253,189.8
Norte,2000,Yarumal,381.5,381.5,305.2
Nordeste,2000,Yolombó,1891,1888,1321.6
Oriente,2001,Abejorral,4223,4048,3542
Occidente,2001,Abriaquí,102.5,81,48
Oriente,2001,Alejandría,674,538,631.8
Suroeste,2001,Amagá,1278,1258,1132.2
Nordeste,2001,Amalfi,1537,1215.8,1215.8
Suroeste,2001,Andes,8669,7489,11233.5
Suroeste,2001,Angelópolis,507,421,336.8
Norte,2001,Angostura,976,918,918
Nordeste,2001,Anorí,226,201,226.1
Occidente,2001,Anzá,1243,1235,802.8
Oriente,2001,Argelia,1709,1559,1343.9
Occidente,2001,Armenia,867,614,552.6
Valle de Aburra,2001,Barbosa,1316.3,1293.8,1293.8
Valle de Aburra,2001,Bello,133,132,112.2
Suroeste,2001,Betania,5230,4670,5137
Suroeste,2001,Betulia,4137,2207,4138.1
Norte,2001,Briceño,515,515,450.6
Occidente,2001,Buriticá,790,739.5,517.7
Occidente,2001,Caicedo,1144,1124,992.5
Valle de Aburra,2001,Caldas,264,228.6,205.7
Norte,2001,Campamento,247,185,185
Occidente,2001,Cañasgordas,2393.3,2018,681.1
Magdalena Medio,2001,Caracolí,30,22,11
Suroeste,2001,Caramanta,1216,1188.9,713.3
Nordeste,2001,Cisneros,272,262,262
Suroeste,2001,Ciudad Bolívar,8451,7041,10561.5
Oriente,2001,Cocorná,1465,1465,1538.3
Oriente,2001,Concepción,100,100,80
Suroeste,2001,Concordia,5292.5,4104.6,6567.4
Valle de Aburra,2001,Copacabana,175,112.5,84.4
Occidente,2001,Dabeiba,1800,1800,1800
Norte,2001,Don Matías,238,218,272.5
Occidente,2001,Ebéjico,1838,1813,1450.4
Oriente,2001,El Carmen De Viboral,542,510,357
Oriente,2001,El Peñol,450,450,495
Oriente,2001,El Retiro,152,147,148.9
Suroeste,2001,Fredonia,2880,2670,3471
Occidente,2001,Frontino,1217.3,1141.3,1426.6
Occidente,2001,Giraldo,455,430.5,516.6
Valle de Aburra,2001,Girardota,356,356,356
Norte,2001,Gómez Plata,606,560,560
Oriente,2001,Granada,1623.5,1600,1600
Norte,2001,Guadalupe,433.3,350.3,315.3
Occidente,2001,Heliconia,1268.3,1168.6,1051.7
Suroeste,2001,Hispania,859,621,659.5
Valle de Aburra,2001,Itagui,49.4,15.8,14.2
Norte,2001,Ituango,3020,2970,2970
Suroeste,2001,Jardín,2181.5,1983.5,2231.4
Suroeste,2001,Jericó,2114,2110.9,2110.9
Oriente,2001,La Ceja,561,561,504.9
Occidente,2001,Liborina,1174,1147,1147
Magdalena Medio,2001,Maceo,229,229,103.1
Valle de Aburra,2001,Medellín,1072,1072,857.6
Suroeste,2001,Montebello,1967.3,1667.3,2072.5
Oriente,2001,Nariño,2647,2547,2466
Occidente,2001,Olaya,581.5,575.6,575.6
Occidente,2001,Peque,956,856,770.4
Suroeste,2001,Pueblorrico,1561.5,1119.5,2099.1
Occidente,2001,Sabanalarga,945.5,861.6,775.4
Valle de Aburra,2001,Sabaneta,173.3,144.3,115.4
Suroeste,2001,Salgar,5601.5,5462.5,6281.9
Norte,2001,San Andrés De Cuerquia,829.5,763,763
Oriente,2001,San Carlos,1627,1490,1364.8
Oriente,2001,San Francisco,666,666,599.4
Occidente,2001,San Jerónimo,604,603,512.6
Oriente,2001,San Luis,771.5,771.5,578.6
Oriente,2001,San Rafael,1052,972,972
Nordeste,2001,San Roque,1088,1036,1133.1
Suroeste,2001,Santa Bárbara,2912,2362,1958.1
Occidente,2001,Santa Fe De Antioquia,1225,1081,1039.9
Norte,2001,Santa Rosa De Osos,488,488,390.4
Nordeste,2001,Santo Domingo,1170,1150,1092.5
Oriente,2001,Sonsón,3527.5,3447,2992.7
Occidente,2001,Sopetrán,954,914,731.2
Suroeste,2001,Támesis,2504,2050,2255
Suroeste,2001,Tarso,1391,1252,1878
Suroeste,2001,Titiribí,933,810,1012.5
Norte,2001,Toledo,910,863.7,846.4
Occidente,2001,Uramita,1090,1090,545
Suroeste,2001,Urrao,1284,954,1192.5
Suroeste,2001,Valparaiso,700,678,508.5
Nordeste,2001,Vegachí,363.3,327.6,316.9
Suroeste,2001,Venecia,626,614,675.4
Nordeste,2001,Yalí,273,235,176.3
Norte,2001,Yarumal,379,301.5,301.5
Nordeste,2001,Yolombó,1901,1891,1323.7
Oriente,2002,Abejorral,4740.6,4269,2467.5
Occidente,2002,Abriaquí,99.5,92.5,56.7
Oriente,2002,Alejandría,724,624,732.8
Suroeste,2002,Amagá,1248,1248,1248
Nordeste,2002,Amalfi,1521,1250,1875
Suroeste,2002,Andes,8684,7429,11886.4
Suroeste,2002,Angelópolis,625,507,760.5
Norte,2002,Angostura,976,963,963
Nordeste,2002,Anorí,224,193,217.1
Occidente,2002,Anzá,1230,1218,791.7
Oriente,2002,Argelia,1709,1609,1387
Occidente,2002,Armenia,881,844,759.6
Valle de Aburra,2002,Barbosa,1323.3,1214.8,1518.5
Valle de Aburra,2002,Bello,133,133,113.1
Suroeste,2002,Betania,5349.3,3994,5318.8
Suroeste,2002,Betulia,4334,2187,4100.6
Norte,2002,Briceño,415,415,363.1
Occidente,2002,Buriticá,756,711,497.7
Occidente,2002,Caicedo,1144,1144,1144
Valle de Aburra,2002,Caldas,275,234.9,234.9
Norte,2002,Campamento,255,245,210
Occidente,2002,Cañasgordas,2613,2355,1766.3
Magdalena Medio,2002,Caracolí,32,13,6.5
Suroeste,2002,Caramanta,1146.9,1059.5,927.1
Nordeste,2002,Cisneros,272,267,267
Suroeste,2002,Ciudad Bolívar,8451,5783,8674.5
Oriente,2002,Cocorná,1465,1465,1465
Oriente,2002,Concepción,100,100,100
Suroeste,2002,Concordia,5308.5,3875.5,6200.8
Valle de Aburra,2002,Copacabana,161,161,112.7
Occidente,2002,Dabeiba,1799,1460,1460
Norte,2002,Don Matías,220,220,275
Occidente,2002,Ebéjico,2023,1533,1226.4
Oriente,2002,El Carmen De Viboral,470,470,329
Oriente,2002,El Peñol,450,450,495
Oriente,2002,El Retiro,152,152,154
Suroeste,2002,Fredonia,2880,2820,3666
Occidente,2002,Frontino,1207,998,998
Occidente,2002,Giraldo,490,428,307.7
Valle de Aburra,2002,Girardota,176,176,147.8
Norte,2002,Gómez Plata,641,546,614.3
Oriente,2002,Granada,1608,1588,2066
Norte,2002,Guadalupe,473.8,362.8,430.6
Occidente,2002,Heliconia,861,705.5,635
Suroeste,2002,Hispania,946,716,859.2
Norte,2002,Ituango,2920,2870,3157
Suroeste,2002,Jardín,2179.5,2179.5,2451.9
Suroeste,2002,Jericó,2111,2101,2521.2
Oriente,2002,La Ceja,551,541,649.2
Occidente,2002,Liborina,1200,1029,1029
Magdalena Medio,2002,Maceo,229,229,103.1
Valle de Aburra,2002,Medellín,1062,1062,849.6
Suroeste,2002,Montebello,2037.3,1887.3,2345.9
Oriente,2002,Nariño,2652,2647,2562.8
Occidente,2002,Olaya,309,299,299
Occidente,2002,Peque,961,876,788.4
Suroeste,2002,Pueblorrico,1553,1551,2908.1
Occidente,2002,Sabanalarga,935.5,920.5,828.5
Valle de Aburra,2002,Sabaneta,172.3,136.3,109
Suroeste,2002,Salgar,5205,5061,5820.2
Norte,2002,San Andrés De Cuerquia,711.5,709.5,709.5
Oriente,2002,San Carlos,1613,1410,1291.6
Oriente,2002,San Francisco,666,666,599.4
Occidente,2002,San Jerónimo,595,594,504.9
Oriente,2002,San Luis,774,771.5,578.6
Oriente,2002,San Rafael,1012,1002,1002
Nordeste,2002,San Roque,1094,1039,1142.9
Suroeste,2002,Santa Bárbara,2917,2862,2372.6
Occidente,2002,Santa Fe De Antioquia,1235,1210,1164
Norte,2002,Santa Rosa De Osos,492,487,389.6
Nordeste,2002,Santo Domingo,1195,1180,1121
Oriente,2002,Sonsón,3473.5,2926,2926
Occidente,2002,Sopetrán,949.1,760.5,608.4
Suroeste,2002,Támesis,2341,1804,1984.4
Suroeste,2002,Tarso,1376,1164,1746
Suroeste,2002,Titiribí,845,745,931.3
Norte,2002,Toledo,889,880,862.4
Occidente,2002,Uramita,1088,1051,525.5
Suroeste,2002,Urrao,1434,1159,1159
Suroeste,2002,Valparaiso,638,574,430.5
Nordeste,2002,Vegachí,505,424.3,185.4
Suroeste,2002,Venecia,565,485,630.5
Nordeste,2002,Yalí,268,228,171
Norte,2002,Yarumal,372,326,407.5
Nordeste,2002,Yolombó,1901,1891,1323.7
Oriente,2003,Abejorral,4737.1,3907.6,3432
Occidente,2003,Abriaquí,94.5,87.5,53.6
Oriente,2003,Alejandría,764,624,514.8
Suroeste,2003,Amagá,1218,1218,1218
Nordeste,2003,Amalfi,1529,1213,1819.5
Suroeste,2003,Andes,8696,8134,13014.4
Suroeste,2003,Angelópolis,630,500,750
Norte,2003,Angostura,981,971,971
Nordeste,2003,Anorí,217,203,228.4
Occidente,2003,Anzá,1227,1091,1036.5
Oriente,2003,Argelia,1709,1609,1387
Occidente,2003,Armenia,866,727,817.9
Valle de Aburra,2003,Barbosa,1322.3,1231.3,1539.1
Valle de Aburra,2003,Bello,110,110,93.5
Suroeste,2003,Betania,5359.6,4807.8,6402.5
Suroeste,2003,Betulia,4597,3700,7030
Occidente,2003,Buriticá,854.7,795.7,668.4
Occidente,2003,Caicedo,1157,979,979
Valle de Aburra,2003,Caldas,275.1,275.1,275.1
Norte,2003,Campamento,237,220,187
Occidente,2003,Cañasgordas,2613,2430,1518.8
Magdalena Medio,2003,Caracolí,33,21,10.5
Suroeste,2003,Caramanta,1030.9,1030.9,885.5
Nordeste,2003,Cisneros,272,272,272
Suroeste,2003,Ciudad Bolívar,8571,4988,7482
Oriente,2003,Cocorná,1465,1465,1465
Oriente,2003,Concepción,100,100,100
Suroeste,2003,Concordia,5208.5,1366.5,2733
Valle de Aburra,2003,Copacabana,142,142,99.4
Occidente,2003,Dabeiba,1797,1500,1500
Norte,2003,Don Matías,205,205,256.3
Occidente,2003,Ebéjico,2033,1853,1482.4
Oriente,2003,El Carmen De Viboral,470,470,329
Oriente,2003,El Peñol,460,448,492.8
Oriente,2003,El Retiro,267,147,147
Suroeste,2003,Fredonia,2895,2785,3620.5
Occidente,2003,Frontino,1212,1007,1007
Occidente,2003,Giraldo,495,490,347.4
Valle de Aburra,2003,Girardota,126,126,100.8
Norte,2003,Gómez Plata,672,584,730
Oriente,2003,Granada,1618.2,1588,2382
Norte,2003,Guadalupe,478.8,425.8,511
Occidente,2003,Heliconia,832,705,634.5
Suroeste,2003,Hispania,943,646,775.2
Norte,2003,Ituango,2870,2820,3102
Suroeste,2003,Jardín,2179.5,1939.5,2329.3
Suroeste,2003,Jericó,2041,1790,2148.4
Oriente,2003,La Ceja,545,501,501
Valle de Aburra,2003,La Estrella,35,35,24.5
Occidente,2003,Liborina,1127,1015,1015
Magdalena Medio,2003,Maceo,229,229,103.1
Valle de Aburra,2003,Medellín,1047,1047,837.6
Suroeste,2003,Montebello,2037.3,1751.3,2176.9
Oriente,2003,Nariño,2692,2424,2181.6
Occidente,2003,Olaya,314,299,299
Occidente,2003,Peque,966,894,804.6
Suroeste,2003,Pueblorrico,1669,1171,2781.1
Occidente,2003,Sabanalarga,944.5,780.5,682.9
Valle de Aburra,2003,Sabaneta,157.3,140.3,263.1
Suroeste,2003,Salgar,5205,4495,5618.8
Norte,2003,San Andrés De Cuerquia,711.5,708.5,708.5
Oriente,2003,San Carlos,1613,1613,1477.5
Oriente,2003,San Francisco,616,616,554.4
Occidente,2003,San Jerónimo,595,595,505.8
Oriente,2003,San Luis,774,771.5,617.2
Oriente,2003,San Rafael,1045,923.4,1015.7
Nordeste,2003,San Roque,1090,962,1058.2
Suroeste,2003,Santa Bárbara,2932,2762,2347.7
Occidente,2003,Santa Fe De Antioquia,1240,1225,1178.5
Norte,2003,Santa Rosa De Osos,491,483,386.4
Nordeste,2003,Santo Domingo,1149,1095,1040.3
Oriente,2003,Sonsón,3473.5,2963.5,2963.5
Occidente,2003,Sopetrán,954.3,895.6,716.5
Suroeste,2003,Támesis,2341,1978,2175.8
Suroeste,2003,Tarso,1361,1149,1723.5
Suroeste,2003,Titiribí,771,720,936
Norte,2003,Toledo,849,819,655.2
Occidente,2003,Uramita,1083,1073,429.2
Suroeste,2003,Urrao,1068,918,918
Suroeste,2003,Valparaiso,624,614,583.3
Nordeste,2003,Vegachí,492,445,194.5
Suroeste,2003,Venecia,497,385,500.5
Nordeste,2003,Yalí,198,158,118.5
Norte,2003,Yarumal,364,340,425
Nordeste,2003,Yolombó,1851,1811,1267.7
Oriente,2004,Abejorral,4737.1,4722.2,4146.1
Occidente,2004,Abriaquí,102.5,94.5,57.9
Oriente,2004,Alejandría,801.8,714.6,669.9
Suroeste,2004,Amagá,1220,1220,1249.3
Nordeste,2004,Amalfi,1527,1344,2016
Suroeste,2004,Andes,8708,8684,13894.4
Suroeste,2004,Angelópolis,620,555,832.5
Norte,2004,Angostura,986,976,976
Nordeste,2004,Anorí,214,204,229.5
Occidente,2004,Anzá,1213,996,976.1
Oriente,2004,Argelia,1709,1649,1421.4
Occidente,2004,Armenia,789.2,652.7,815.9
Valle de Aburra,2004,Barbosa,1327.3,1251.3,1564.1
Valle de Aburra,2004,Bello,90,90,81
Suroeste,2004,Betania,5439.4,4844.6,6980.1
Suroeste,2004,Betulia,4579,3422,6159.6
Occidente,2004,Buriticá,854,839,706
Occidente,2004,Caicedo,1163,869,869
Valle de Aburra,2004,Caldas,242,226,226
Norte,2004,Campamento,240,220,187
Occidente,2004,Cañasgordas,2592,2517,1258.5
Magdalena Medio,2004,Caracolí,34,32,16
Suroeste,2004,Caramanta,1158,1078,1199.8
Nordeste,2004,Cisneros,272,272,272
Suroeste,2004,Ciudad Bolívar,8646,6426,9639
Oriente,2004,Cocorná,1465,1465,1465
Oriente,2004,Concepción,108,100,100
Suroeste,2004,Concordia,5218.5,2000.5,4001
Valle de Aburra,2004,Copacabana,142,142,99.4
Occidente,2004,Dabeiba,1807,1516,1516
Norte,2004,Don Matías,207,205,256.3
Occidente,2004,Ebéjico,2035,1923,1923
Oriente,2004,El Carmen De Viboral,470,470,329
Oriente,2004,El Peñol,438,396,435.6
Oriente,2004,El Retiro,275,130,162.5
Suroeste,2004,Fredonia,2905,2810,3653
Occidente,2004,Frontino,1212,1012,1012
Occidente,2004,Giraldo,495,480,336
Valle de Aburra,2004,Girardota,131,116,98.6
Norte,2004,Gómez Plata,705,624,780
Oriente,2004,Granada,1656,1608,2412
Norte,2004,Guadalupe,478.8,478.8,574.6
