Id,Name,Value,Date
Embalse,SALVAJINA,0.3525,2024-03-13
Embalse,SAN LORENZO,0.3523,2024-03-13
Embalse,TOPOCORO,0.31579,2024-03-13
Embalse,TRONERAS,0.32042,2024-03-13
Embalse,URRA1,0.56663,2024-03-13
Embalse,AGREGADO BOGOTA,0.55951,2024-03-14
Embalse,AMANI,0.35932,2024-03-14
Embalse,BETANIA,0.7576,2024-03-14
Embalse,CALIMA1,0.51711,2024-03-14
Embalse,CHUZA,0.2043,2024-03-14
Embalse,EL QUIMBO,0.24723,2024-03-14
Embalse,ESMERALDA,0.27171,2024-03-14
Embalse,GUAVIO,0.13273,2024-03-14
Embalse,ITUANGO,0.08335,2024-03-14
Embalse,MIRAFLORES,0.26685,2024-03-14
Embalse,MUNA,0.38808,2024-03-14
Embalse,PENOL,0.43839,2024-03-14
Embalse,PLAYAS,0.84136,2024-03-14
Embalse,PORCE II,0.51105,2024-03-14
Embalse,PORCE III,0.406,2024-03-14
Embalse,PRADO,0.25477,2024-03-14
Embalse,PUNCHINA,0.16917,2024-03-14
Embalse,RIOGRANDE2,0.21752,2024-03-14
Embalse,SALVAJINA,0.34709,2024-03-14
Embalse,SAN LORENZO,0.3258,2024-03-14
Embalse,TOPOCORO,0.30671,2024-03-14
Embalse,TRONERAS,0.17448,2024-03-14
Embalse,URRA1,0.56227,2024-03-14
Embalse,AGREGADO BOGOTA,0.5585,2024-03-15
Embalse,ALTOANCHICAYA,0.00967,2024-03-15
Embalse,AMANI,0.34533,2024-03-15
Embalse,BETANIA,0.75216,2024-03-15
Embalse,CALIMA1,0.50819,2024-03-15
Embalse,CHUZA,0.19795,2024-03-15
Embalse,EL QUIMBO,0.24275,2024-03-15
Embalse,ESMERALDA,0.26025,2024-03-15
Embalse,GUAVIO,0.12682,2024-03-15
Embalse,ITUANGO,0.08847,2024-03-15
Embalse,MIRAFLORES,0.25839,2024-03-15
Embalse,MUNA,0.31841,2024-03-15
Embalse,PENOL,0.43336,2024-03-15
Embalse,PLAYAS,0.91125,2024-03-15
Embalse,PORCE II,0.46418,2024-03-15
Embalse,PORCE III,0.34058,2024-03-15
Embalse,PRADO,0.25009,2024-03-15
Embalse,PUNCHINA,0.17077,2024-03-15
Embalse,RIOGRANDE2,0.217,2024-03-15
Embalse,SALVAJINA,0.34152,2024-03-15
Embalse,SAN LORENZO,0.28735,2024-03-15
Embalse,TOPOCORO,0.29791,2024-03-15
Embalse,TRONERAS,0.31708,2024-03-15
Embalse,URRA1,0.55802,2024-03-15
Embalse,AGREGADO BOGOTA,0.55744,2024-03-16
Embalse,ALTOANCHICAYA,0.01809,2024-03-16
Embalse,AMANI,0.32391,2024-03-16
Embalse,BETANIA,0.73342,2024-03-16
Embalse,CALIMA1,0.50002,2024-03-16
Embalse,CHUZA,0.19549,2024-03-16
Embalse,EL QUIMBO,0.23941,2024-03-16
Embalse,ESMERALDA,0.24631,2024-03-16
Embalse,GUAVIO,0.11796,2024-03-16
Embalse,ITUANGO,0.08998,2024-03-16
Embalse,MIRAFLORES,0.24978,2024-03-16
Embalse,MUNA,0.32822,2024-03-16
Embalse,PENOL,0.428,2024-03-16
Embalse,PLAYAS,0.91816,2024-03-16
Embalse,PORCE II,0.50957,2024-03-16
Embalse,PORCE III,0.38048,2024-03-16
Embalse,PRADO,0.2465,2024-03-16
Embalse,PUNCHINA,0.3709,2024-03-16
Embalse,RIOGRANDE2,0.20303,2024-03-16
Embalse,SALVAJINA,0.33678,2024-03-16
Embalse,SAN LORENZO,0.26624,2024-03-16
Embalse,TOPOCORO,0.29066,2024-03-16
Embalse,TRONERAS,0.16854,2024-03-16
Embalse,URRA1,0.55261,2024-03-16
Embalse,AGREGADO BOGOTA,0.55638,2024-03-17
Embalse,ALTOANCHICAYA,0.01965,2024-03-17
Embalse,AMANI,0.30208,2024-03-17
Embalse,BETANIA,0.7374,2024-03-17
Embalse,CALIMA1,0.50012,2024-03-17
Embalse,CHUZA,0.19304,2024-03-17
Embalse,EL QUIMBO,0.23443,2024-03-17
Embalse,ESMERALDA,0.24662,2024-03-17
Embalse,GUAVIO,0.10918,2024-03-17
Embalse,ITUANGO,0.09447,2024-03-17
Embalse,MIRAFLORES,0.24096,2024-03-17
Embalse,MUNA,0.29424,2024-03-17
Embalse,PENOL,0.42374,2024-03-17
Embalse,PLAYAS,0.96895,2024-03-17
Embalse,PORCE II,0.4327,2024-03-17
Embalse,PORCE III,0.46577,2024-03-17
Embalse,PRADO,0.24214,2024-03-17
Embalse,PUNCHINA,0.51503,2024-03-17
Embalse,RIOGRANDE2,0.18044,2024-03-17
Embalse,SALVAJINA,0.33209,2024-03-17
Embalse,SAN LORENZO,0.24735,2024-03-17
Embalse,TOPOCORO,0.28623,2024-03-17
Embalse,TRONERAS,0.30708,2024-03-17
Embalse,URRA1,0.5484,2024-03-17
Embalse,AGREGADO BOGOTA,0.55532,2024-03-18
Embalse,ALTOANCHICAYA,0.02308,2024-03-18
