Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Bugalagrande,2017.0,300,0,0,0,0,"15,764",0,84,440,108,0,0,144,0,0,0,0,0,72,0,0
Caicedonia,2017.0,"3,732",0,"4,950",0,0,"48,950",0,0,896,0,0,0,144,0,0,0,0,"1,820",0,0,0
Calima Darién,2017.0,318,0,66,0,0,80,0,0,0,50,"1,350",0,0,0,0,96,0,0,0,0,0
Candelaria,2017.0,0,0,0,0,0,315,0,0,0,225,0,0,405,0,0,0,0,0,0,0,0
Cartago,2017.0,212,0,270,0,0,"3,654",0,0,0,30,0,0,0,0,0,0,0,90,0,0,0
Dagua,2017.0,400,0,"1,380",0,119,"1,100",0,0,120,40,398,0,"2,880",0,0,0,0,"46,200",63,0,0
El Aguila,2017.0,154,0,117,0,0,53,0,77,0,0,240,0,0,0,0,24,0,50,0,60,0
El Cairo,2017.0,558,0,310,0,0,0,0,21,0,0,42,0,45,0,0,180,0,0,0,18,0
El Cerrito,2017.0,200,0,360,0,0,540,0,0,0,0,0,0,160,0,0,8,0,0,0,70,"3,962"
El Dovio,2017.0,56,0,686,0,0,0,0,30,0,0,825,0,495,0,0,0,0,0,0,0,0
Florida,2017.0,81,0,"2,720",0,0,"2,850",0,112,60,130,0,45,140,0,0,468,330,"4,620",5,60,0
Ginebra,2017.0,0,0,"2,844",0,0,540,0,36,0,0,70,0,210,0,0,600,110,0,0,0,852
Guacarì,2017.0,480,0,"4,230",0,0,"2,170",0,0,190,0,555,0,710,0,0,186,"3,220",0,0,312,"1,990"
Jamundì,2017.0,40,0,75,0,0,"10,670",0,0,48,48,55,460,230,0,0,59,60,"1,080",0,78,0
La Cumbre,2017.0,0,0,580,0,0,0,0,0,0,0,68,0,0,0,0,0,45,"12,400",0,0,0
La Uniòn,2017.0,258,0,233,0,0,365,0,0,88,"2,654",66,120,255,440,440,0,"3,325","1,152",64,0,"8,061"
La Victoria,2017.0,220,0,"1,020",0,0,"2,940",0,0,28,250,0,675,66,30,0,0,60,0,0,0,60
Obando,2017.0,246,0,"9,966",0,0,342,0,0,0,0,0,368,280,0,0,0,300,0,0,0,0
Palmira,2017.0,"1,230",0,"1,177",0,0,"1,500",0,84,0,110,141,0,161,0,0,15,0,0,0,60,40
Pradera,2017.0,20,0,300,0,0,250,0,0,300,30,0,0,0,0,0,75,0,"1,600",0,30,0
Restrepo,2017.0,648,200,623,0,0,156,0,8,0,80,"1,290",0,144,0,0,32,0,"35,400",232,18,0
Riofrìo,2017.0,224,0,"11,256",0,0,144,0,0,48,42,901,90,0,0,0,100,0,360,40,0,0
Roldanillo,2017.0,290,0,"1,050",0,0,800,0,56,100,"2,364",100,0,"1,980",900,510,30,"1,968","2,460",108,0,789
San Pedro,2017.0,212,0,483,0,0,406,0,372,145,0,98,113,560,0,0,182,"1,350",0,0,175,0
Sevilla,2017.0,"4,608",0,"14,000",0,0,"28,000",0,150,0,0,675,0,0,0,0,240,0,0,0,0,0
Toro,2017.0,135,0,60,0,0,30,0,70,120,"1,548",75,0,600,700,575,0,"1,050","1,000",0,0,"3,480"
Trujillo,2017.0,"1,130",0,"6,290",0,0,400,0,0,35,39,105,0,162,0,0,644,690,0,176,0,108
Tuluà,2017.0,96,0,"4,707",0,0,612,0,40,49,0,"1,350",50,160,0,0,564,383,0,0,690,36
Ulloa,2017.0,660,0,"2,000",0,0,"1,247",0,0,0,0,0,0,0,0,0,0,0,495,0,0,0
Versalles,2017.0,321,0,582,0,0,0,0,124,0,0,240,0,160,0,0,409,0,0,60,0,0
Vijes,2017.0,136,0,600,0,0,780,0,0,0,0,0,130,0,0,0,0,"2,000","17,280",0,0,0
Yotoco,2017.0,366,0,0,0,0,"1,128",0,0,0,239,57,0,405,0,0,0,700,"2,520",27,0,0
Yumbo,2017.0,336,0,89,0,0,631,0,24,60,39,0,202,18,40,60,5,20,300,12,3,984
Zarzal,2017.0,0,0,0,0,0,"2,439",0,0,95,65,0,0,0,45,75,0,174,"3,990",0,0,0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2016.0,15,0,0,0,161,0,0,0,0,88,0,0,0,0,0,70,0,0,0,33,0
Alcalá,2016.0,196,"2,540",0,0,"7,440",0,0,0,0,50,128,0,0,0,0,0,100,"1,425",0,0,0
Andalucia,2016.0,250,105,0,0,"11,200",0,0,0,0,0,0,0,600,0,0,0,120,0,0,0,0
Ansermanuevo,2016.0,127,540,0,0,25,0,0,195,60,3,11,66,9,0,0,5,0,0,64,0,0
Argelia,2016.0,"2,270",720,0,0,39,0,0,0,0,0,40,0,0,0,0,28,0,0,0,0,0
Bolivar,2016.0,200,"2,108",0,0,880,48,0,450,210,"1,900","2,780",0,980,"2,310","1,890",115,810,"4,400",100,224,480
Buenaventura,2016.0,0,"1,612","3,900","9,312",0,"3,640","3,864",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2016.0,84,"1,190",0,0,120,0,0,110,0,16,24,40,36,0,0,30,340,"6,000",0,24,22
Bugalagrande,2016.0,270,0,0,0,"15,960",0,0,126,495,108,0,0,120,0,0,0,0,0,80,0,0
Caicedonia,2016.0,"4,368","5,475",0,0,"48,725",0,0,0,307,0,0,0,0,0,0,0,0,"1,820",0,0,0
Calima Darién,2016.0,398,66,0,0,90,0,0,0,0,50,"1,746",0,0,0,0,136,0,0,0,0,0
Candelaria,2016.0,0,0,0,0,313,0,0,0,0,195,0,0,480,0,0,0,0,0,0,0,0
Cartago,2016.0,318,270,0,0,"2,952",0,0,0,0,40,0,0,0,0,0,0,0,75,0,0,0
Dagua,2016.0,690,956,0,0,"2,046",119,0,0,45,43,263,0,414,0,0,0,0,"67,800",42,0,0
El Aguila,2016.0,160,80,0,0,105,0,0,14,0,0,120,0,10,0,0,15,0,338,0,60,0
El Cairo,2016.0,536,280,0,0,0,0,0,20,0,0,26,0,52,0,0,150,0,0,0,11,0
El Cerrito,2016.0,246,300,0,0,540,0,0,0,0,0,0,0,200,0,0,14,0,0,0,100,"3,962"
El Dovio,2016.0,44,574,0,0,0,0,0,80,0,0,840,0,390,0,0,0,0,0,0,0,0
Florida,2016.0,144,"3,861",0,0,"2,820",0,0,108,80,90,0,80,150,0,0,504,450,315,10,54,0
Ginebra,2016.0,0,"1,450",0,0,348,0,0,54,0,0,108,0,195,0,0,"1,560",550,0,0,0,610
Guacarì,2016.0,430,"1,624",0,0,570,0,0,0,240,0,231,0,580,0,0,175,"10,450",0,0,120,"3,780"
Jamundì,2016.0,40,67,0,0,"9,060",0,0,0,26,80,90,460,330,0,0,68,210,"1,110",0,30,0
La Cumbre,2016.0,0,344,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,"6,400",0,0,0
La Uniòn,2016.0,424,191,0,0,263,0,0,0,108,"2,631",102,0,180,"1,620","1,692",0,"4,332",0,0,0,"9,647"
La Victoria,2016.0,250,"1,280",0,0,0,0,0,0,0,240,0,240,192,0,0,0,0,0,0,0,50
Obando,2016.0,266,"9,702",0,0,468,0,0,0,0,0,0,390,210,0,0,0,350,0,0,0,0
Palmira,2016.0,"1,030","1,397",0,0,"1,500",0,0,80,0,110,281,0,161,0,0,45,0,0,0,51,144
Pradera,2016.0,20,180,0,0,325,0,0,0,300,30,52,0,0,0,0,60,0,"1,000",0,30,0
Restrepo,2016.0,578,"1,300",216,0,192,0,0,8,0,88,"1,185",0,136,0,0,64,0,"27,900",224,18,0
