Municipios,Año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Lulo,Mango,Maracuyá,Melón A,Melón B,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Dagua,2012,50,0,122,0,14,72,0,0,0,35,0,13,0,0,0,0,700,0,0,0
El Aguila,2012,0,0,10,0,0,5.1,0,7,0,0,0,0,0,0,20,0,0,0,0,0
El Cairo,2012,33.6,0,621,0,0,0,0,3.5,0,3.2,0,0,0,0,2,0,0,5.5,0,0
El Cerrito,2012,37.9,0,14,0,0,18.3,0,0,0,0,0,10,0,0,10,0,0,0,0,160
El Dovio,2012,4,0,44,0,0,0,0,3,0,32,0,3,0,0,9,0,0,2.5,0,0
Florida,2012,3,0,110,0,0,82,0,5,8,6,4,0,0,0,25,0,0,0,4,0
Ginebra,2012,0,0,155,0,0,31.5,0,5,0,18,0,0,0,0,21,0,0,0,0.5,165
Guacarì,2012,56,0,258,0,0,83,0,7,17,15.5,0,39,0,0,71,43,0,0,3,184
Jamundì,2012,4,0,12,0,0,457,0,0,5,7.5,27,9,0,0,9.5,8,12,0,4,0
La Cumbre,2012,0,0,65.5,0,0,0,0,0,0,34,0,0,0,0,0,0,116.5,0,0,0
La Uniòn,2012,18.1,0,35,0,0,0,0,0,8,0,0,130,63,70,0,163,0,0,0,1162
La Victoria,2012,14.6,0,143,0,0,51,0,0,0,0,15,30,0,0,0,103.5,0,0,0,5.3
Obando,2012,8.6,0,396,0,0,120,0,0,0,0,17.5,7,0,0,0,6,0,0,0,0
Palmira,2012,66,0,88,0,0,68,0,0,8,15,0,18.5,0,0,25,0,25,0,14,8
Pradera,2012,6.4,0,33,0,0,25.4,0,0,30,7,0,0,0,0,5,0,0,0,5,0
Restrepo,2012,57,16,65,0,0,25,0,1,0,71,0,14.7,0,0,10,0,540.5,40,3,0
Riofrìo,2012,9.6,0,380,0,0,65,0,3,2,82,7,0,0,0,20,12,0,3,0,0
Roldanillo,2012,35,0,33,0,0,14,0,9,17,4,0,153,25,34.6,4,150,4.5,11,0,32
San Pedro,2012,21,0,73,0,0,33,0,25,14,23,6,75,0,0,14,33,0,0,0,0
Sevilla,2012,320,0,1825,0,0,1191.9,0,27.5,0,91,0,0,0,0,22,0,0,0,0,0
Toro,2012,10,0,7,0,0,30,0,0,211,0,0,0,52,56,0,117,0,0,0,499
Trujillo,2012,45,0,536,0,0,19,0,0,2,4,0,14,6,2,120,30,3,1,0,7
Tuluà,2012,12.1,0,537,0,0,130,0,9,18,161,6,110,0,0,113,130,0,0,68,10
Ulloa,2012,120,3,103,0,0,192,0,0,9.9,4,0,0,0,0,0,0,37.1,0,0,0
Versalles,2012,22,0,83,0,0,0,0,14,0,34,0,4,0,0,6.9,4,0,3,0,0
Vijes,2012,13.2,0,34,0,0,30,0,0,0,14,13,0,0,0,0,38,95,0,0,0
Yotoco,2012,95,0,0,0,0,38,0,6,0,35,0,3,0,0,0,56,7,11,0,0
Yumbo,2012,34,0,13,0,0,46.1,0,4,10,7,24,4,6,8,3.5,22.3,10,1,1,12.5
Zarzal,2012,0,0,0,0,0.2,351.5,0,0,10,0,0,13.7,51.1,1.1,0,15.7,10.7,0,0,0
Cali,2011,10,0,20,0,0,35,0,0,0,8,8,0,0,0,13,0,0,0,12,0
Alcalá,2011,42.2,3.6,68,0,0,336,0,0,0,25,0,0,0,0,0,0,21,0,0,0
Andalucia,2011,8,0,0,0,0,147,0,0,0,0,0,15,0,0,0,55,0,0,0,0
Ansermanuevo,2011,27.3,0,37,0,0,3,0,5,0,15.5,10,4,0,0,20.5,0,0,0,0,0
Argelia,2011,278.6,0,170,0,0,5.1,0,0,0,13,0,0,0,0,4,0,0,0,0,0
Bolivar,2011,32.9,0,68.5,0,10,39.5,0,38,9,240.5,0,100.5,36,40,34,67,43,32.5,50,17
Buenaventura,2011,0,466,129,811,3476,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2011,21,0,140,0,0,90,0,4,13,23,25,6,0,0,28,12,60,0,30,1
Bugalagrande,2011,27,0,0,0,0,590,0,9,45,0,0,8,0,0,0,0,0,10,0,0
Caicedonia,2011,238,0,259,0,0,1517,0,8,24,0,0,17,0,0,0,0,90,0,0,0
Calima Darién,2011,131,0,0,0,0,4,0,13,0,108.5,0,0,0,0,40.5,0,0,3,5,0
Candelaria,2011,0,0,0,0,0,31,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Cartago,2011,5.1,0,30,0,0,108.8,0,0,0,6.2,0,6.2,0,0,0,0,0,0,0,0
Dagua,2011,50,0,122,0,14,72,0,0,0,35,0,13,0,0,0,0,700,0,0,0
El Aguila,2011,3.2,0,11.1,0,0,5.1,0,7,0,14,0,0,0,0,20,0,0,0,8,0
El Cairo,2011,33.6,0,621,0,0,0,0,1.5,0,3.2,0,0,0,0,2,0,0,5.5,0,0
El Cerrito,2011,37.9,0,11,0,0,18.3,0,0,0,0,0,0,0,0,10,0,0,0,0,160
El Dovio,2011,4,0,43,0,0,0,0,4,0,39,0,1,0,0,10,0,0,2.5,0,0
Florida,2011,3,0,110,0,0,82,0,5,8,6,4,0,0,0,25,0,0,0,6,0
Ginebra,2011,0,0,155,0,0,31.5,0,5,0,18,0,0,0,0,21,0,0,0,0.5,280
Guacarì,2011,48,0,238,0,0,58,0,0,19,47,0,65,0,0,118,72,0,0,26,194
Jamundì,2011,5.5,0,12,0,0,442.5,0,0,5,3,27,10,0,0,12.5,10,8,0,4.5,0
La Cumbre,2011,0,0,65.5,0,0,0,0,0,0,35,0,0,0,0,0,0,125,0,0,0
La Uniòn,2011,0,0,30,0,0,0,0,0,10.9,0,0,51.2,98.8,70,0,124,0,0,0,1120
La Victoria,2011,14.6,0,143,0,0,51,0,0,0,0,15,30,0,0,0,103.5,0,0,0,5.3
Obando,2011,12.6,0,393,0,0,120,0,0,0,0,15.5,10,0,0,0,9,0,0,0,0
Palmira,2011,51,0,88,0,0,63,0,0,8,15,0,7.8,0,0,25,0,5,0,14,8
Pradera,2011,6.4,0,33,0,0,25.4,0,0,30,7,0,0,0,0,5,0,0,0,5,0
Restrepo,2011,55,16,65,0,0,30,0,2,0,48.5,0,14,0,0,11,0,559,40,5,0
Riofrìo,2011,9.6,0,380,0,0,65,0,3,2,82,7,0,0,0,20,12,0,3,0,0
Roldanillo,2011,15,0,30,0,0,13.5,0,9,17.3,4.4,0,106.3,117,60.3,4.2,278,0,7.2,0,2.3
San Pedro,2011,21.3,0,73,0,0,31.4,0,0,7,23,6,66.6,0,0,12,0,0,0,13,0
Sevilla,2011,320,0,1897,0,0,1280,0,20.5,0,68,0,0,0,0,17,0,0,0,0,0
Toro,2011,9.5,0,5,0,0,87,0,0,326,0,0,0,45,45,0,95,0,0,0,412
Trujillo,2011,29,0,692,0,0,22.3,0,0,1,0,0,6,0,0,156,0,1,1,0,8
Tuluà,2011,22.1,0,537,0,0,140.7,0,9,18,161,6,110,0,0,113.7,130,0,0,63,10
Ulloa,2011,45.7,3,102.8,0,0,192,0,0,0,0,0,0,0,0,0,0,32.6,0,0,0
Versalles,2011,11.5,0,91.5,0,0,0,0,17,0,24,0,2,0,0,9.4,0,0,0,0,0
Vijes,2011,5.2,0,27,0,0,20.3,0,0,0,0,10,0,0,0,0,26,95,0,0,0
Yotoco,2011,109.2,0,0,0,0,34.4,0,0,0,18.5,0,3.7,0,0,0,43.8,12.5,10.5,0,0
Yumbo,2011,28.5,0,17,0,0,55.1,0,4,12,6.2,20.7,45.8,0,2,2.5,29.3,15,1,2,13.5
Zarzal,2011,0,0,0,0,0,245,0,0,41.7,0,0,29.5,97.5,100,0,40,7.2,0,0,0
Cali,2010,15,0,20,0,0,40,0,0,0,12,8,0,0,0,15,0,0,0,12,0
Alcalá,2010,67,6,104,0,0,336,0,8,0,0,0,0,0,0,0,0,22,0,0,0
Andalucia,2010,26,0,0,0,0,348,0,0,3.2,0,0,55,0,0,0,115,0,0,0,0
Ansermanuevo,2010,27.4,0,35,0,0,1,0,5,12.5,4.5,10,4,66,64,17.5,0,0,4,0,0
Argelia,2010,190.8,0,170,0,0,5.1,0,0,0,10,0,0,0,0,2,0,0,0,0,0
Bolivar,2010,34.4,0,65,0,10,42,0,39,7,230,0,117,54,45,32.5,110,39,38,43,13.5
Buenaventura,2010,0,443,130,813,3482,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2010,14,0,140,0,0,75,0,4,13,28,25,45,0,0,28,12,50,0,30,1
Bugalagrande,2010,37,0,0,0,0,610,0,9,50,0,0,8,0,0,0,0,0,10,0,0
Caicedonia,2010,226,0,253,0,0,1411,0,10,24,0,0,27,0,0,0,0,108,0,0,0
Calima Darién,2010,150,0,0,0,0,0,0,14,0,104.5,0,0,0,0,40.5,0,0,5,10,0
Candelaria,2010,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cartago,2010,5.1,0,25,0,0,78.8,0,0,0,0,0,5.1,0,0,0,0,2,0,0,0
Dagua,2010,50,0,122,0,14,72,0,0,0,35,0,13,0,0,0,0,700,0,0,0
El Aguila,2010,3.2,0,11.1,0,0,5.1,0,7,0,12,0,0,0,0,20,0,0,0,8,0
El Cairo,2010,31.1,0,618,0,0,0,0,3,0,4,0,0,0,0,1,0,0,5,3,0
El Cerrito,2010,17.9,0,11,0,0,18.3,0,0,0,0,0,9,0,0,10,0,0,0,0,155
El Dovio,2010,0,0,48,0,0,0,0,7,0,43,0,3,0,0,8,0,0,2.5,0,0
Florida,2010,3,0,102,0,0,82,0,5,8,6,4,0,0,0,20,0,0,0,6,0
Ginebra,2010,0,0,150,0,0,31.5,0,5,0,25,0,0,0,0,90,0,0,0,25,300
Guacarì,2010,48,0,238,0,0,58,0,0,19,47,0,65,0,0,118,72,0,0,26,194
Jamundì,2010,9.5,0,18.5,0,0,488.5,0,0,5,9,27,8,0,0,21,5,3,0,7,0
La Cumbre,2010,0,0,69,0,0,0,0,0,0,52,0,0,0,0,0,0,128,17,0,0
La Uniòn,2010,0,0,33,0,0,0,0,0,13,0,0,152,100,50,0,211,0,0,0,1179
La Victoria,2010,10,0,143,0,7,51,0,0,0,0,15,25,0,16.1,0,30,0,0,0,2
Obando,2010,12.3,0,377,0,0,125,0,0,0,0,16,10,0,0,0,8,0,0,0,0
Palmira,2010,51,0,72,0,0,63,0,0,8,15,0,11.5,0,0,25,0,5,0,14,8
Pradera,2010,6.4,0,33,0,0,25.4,0,0,30,7,0,0,0,0,5,0,0,0,5,0
Restrepo,2010,51,11,62,0,0,28,0,0,0,71.5,0,14,0,0,7,0,535,37,3,0
Riofrìo,2010,9.6,0,380,0,0,65,0,3,2,82,7,0,0,0,20,12,0,3,0,0
Roldanillo,2010,38.7,0,28.7,0,0,14,0,14.3,17.4,7.6,0,204.9,96,47,5.2,173.9,0,10.5,0,25
San Pedro,2010,21.3,0,73,0,0,31.4,0,0,7,23,6,66.6,0,0,12,0,0,0,13,0
Sevilla,2010,0,0,1725,0,0,1171.9,0,7.5,0,51,0,0,0,0,17,0,0,0,0,0
Toro,2010,10.5,0,14,0,0,87,0,0,340,0,0,0,45,45,0,108,0,0,0,422
Trujillo,2010,29,0,692,0,0,22.3,0,0,1,0,0,6,0,0,156,0,1,1,0,8
Tuluà,2010,23.6,0,535,0,0,142.2,0,9,18,155,6,110,0,0,113.7,130,0,0,53,10
Ulloa,2010,54.7,0,111.8,0,0,192,0,0,0,0,0,0,0,0,0,0,37.1,0,0,0
Versalles,2010,0,0,90.5,0,0,0,0,32,0,32,0,4,0,0,12.4,0,0,0,5.5,0
Vijes,2010,21.2,0,33,0,0,19.3,0,0,0,0,10,0,0,0,0,26,92,0,0,0
Yotoco,2010,110.7,0,0,0,0,33,0,0,0,15.5,0,3,0,0,0,48.5,14.5,10,0,0
Yumbo,2010,28.5,0,17,0,0,55.1,0,4,12,6.2,20.7,45.8,0,2,2.5,29.3,15,1,2,13.5
Zarzal,2010,0,0,0,0,0,251.7,0,0,41.7,0,0,129.5,180,120,0,370,0,0,0,0
Cali,2009,15,0,20,0,0,57.9,0,0,0,10,8,0,0,0,15,0,0,0,15,0
Alcalá,2009,69.7,6,99,0,0,341.2,0,7.6,0,0,0,0,0,0,0,0,32,0,0,0
Andalucia,2009,55.7,0,0,0,0,450.9,0,0,6.2,0,,45,0,0,0,150,0,0,0,0
Ansermanuevo,2009,27.2,0,35,0,0,3,0,10,6,4.5,10,69,0,0,13.5,,0,4,0,0
Argelia,2009,190.8,0,170,0,0,5.1,0,0,0,10,0,0,0,0,2,0,0,0,0,0
Bolivar,2009,35.4,0,56,0,3,39.6,0,38,7,175,0,52,4.5,3.5,27.5,71,33,36,33,13.5
Buenaventura,2009,0,345,133,815,3482,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2009,16.1,0,133,0,0,64,0,6,29,28,25,45,0,0,28,9,50,0,52,1
Bugalagrande,2009,47.2,0,590,0,0,619.5,0,15,50,0,0,41,0,0,0,0,0,8,0,0
Caicedonia,2009,242.2,0,245,0,0,1713.2,0,,15,0,0,31,0,0,0,0,75,0,0,0
Calima Darién,2009,183.3,,,,,20.3,,12,,90.5,,,,,36.5,,1,3,2.5,
Candelaria,2009,0,0,0,0,0,27,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cartago,2009,5.1,0,25,0,0,78.8,0,0,0,0,0,7.1,0,0,0,0,3,0,0,0
Dagua,2009,53.6,0,125,19.6,14,73.1,0,0,,47,0,0,0,0,0,0,656,0,3,0
El Aguila,2009,3.2,0,11,0,0,5.1,0,7,0,12,0,0,0,0,20,0,0,0,8,0
El Cairo,2009,8.6,0,616,0,0,0,0,3,0,2,0,0,0,0,2,0,0,5,0,0
El Cerrito,2009,12.9,0,11,0,0,17.3,0,0,0,0,0,19,0,0,10,0,0,0,0,150
El Dovio,2009,0,,63,,,0,,8,,42,,4,,,4.5,,,2.5,0,0
Florida,2009,2.1,0,138,0,0,94.4,0,0,13,28,9,0,0,0,49,0,0,0,16,0
Ginebra,2009,0,0,120,0,0,31.5,0,5,0,25,0,0,0,0,90,0,0,0,25,300
Guacarì,2009,51.4,0,237,0,0,57.9,0,0,19,56,0,50,0,0,98,32,0,0,20,189
Jamundì,2009,4.3,0,20,0,,487.5,0,6,3,10,27,6,0,0,50,16,,0,4,0
La Cumbre,2009,0,0,69,0,0,9.1,0,0,,58,0,,0,0,,,98,17,,
La Uniòn,2009,0,0,31,0,0,0,0,0,11,0,0,262,50,38,0,398,0,0,0,1309
La Victoria,2009,7.5,0,140,0,7,50.8,0,0,0,0,15,30,0,0,0,63.5,0,0,0,2
Obando,2009,4.3,0,369,0,,106.6,0,0,,0,5,0,0,0,0,0,0,0,0,0
Palmira,2009,54.7,0,62,0,0,64,0,0,8,15,25,11.5,0,0,25,0,5,0,14,8
Pradera,2009,6.4,0,33,0,0,25.4,0,0,30,7,0,0,0,0,5,0,0,0,5,0
Restrepo,2009,59,6,55,,,23.4,,2,,84,,11,,,6,,480,27,5,
Riofrìo,2009,9.6,0,380,0,0,65,0,3,2,82,7,0,0,0,20,12,0,3,0,0
Roldanillo,2009,47.9,0,31.7,0,0,23.4,0,15.3,21.4,5.6,0,222.9,101.8,50.9,3.2,193.9,0,9.5,1.5,25
San Pedro,2009,19.3,0,70,0,0,28.4,0,0,7,20,6,56.5,0,0,15,,0,0,10,0
Sevilla,2009,0,0,1716,0,0,1166.9,0,8.5,0,48,0,0,0,0,15,0,0,0,0,0
Toro,2009,7.5,0,14,0,0,86.3,0,5,340,4,0,0,56,50,0,106,0,0,0,422
Trujillo,2009,29,0,712,0,0,22.3,0,7,3,15,0,10,8,,156.8,10,1,6,0,8
Tuluà,2009,23.6,0,533,0,0,142.2,0,7,18,70,6,116,0,0,113.7,130,0,0,52,10
Ulloa,2009,63.2,4,31,0,0,179.8,0,0,0,0,0,0,0,0,0,0,37,0,0,0
Versalles,2009,0,0,90.5,0,0,0,0,45,0,36,0,9,0,0,9.4,0,0,0,3.5,0
Vijes,2009,18.2,0,28,0,0,18.3,0,0,0,,10,0,0,0,0,26,80,0,0,0
Yotoco,2009,99.7,0,0,0,0,25.4,0,0,0,7,0,3,0,0,0,31,1.2,10,0,0
Yumbo,2009,30.2,0,19,0,0,60.1,0,4,17,6.2,20.7,31.8,3,3.8,2.5,39.3,20,1,2,14
Zarzal,2009,0,0,0,0,0,242.7,0,0,48,0,2,37,270,150,0,460,0,0,0,0
Cali,2008,11,0,15,0,0,57,0,0,0,15,7,0,0,0,3,0,0,0,22,0
Alcalá,2008,60,6,159,0,0,336,0,0,0,0,0,0,0,0,0,0,44,0,0,0
Andalucia,2008,52,0,0,0,0,598.6,0,0,9.2,0,0,190,0,0,0,13,0,0,0,0
Ansermanuevo,2008,19,0,31,0,0,23,0,8,12,3,10,41,0,0,17,,0,6,0,0
Argelia,2008,103,0,170,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Bolivar,2008,31,0,53,0,0,34,0,38,7,140,0,38,32,20,19,66,43,36,35,12
Buenaventura,2008,0,340,130,800,3467,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2008,6,0,100,0,0,63,0,2,25,20,18,46,0,0,19,4,60,0,65,1
Bugalagrande,2008,44,0,590,0,0,560,0,15,50,0,0,8,0,0,0,0,0,8,0,0
Caicedonia,2008,196,0,247,0,0,1196,0,,15,0,0,31,0,0,0,0,0,0,0,0
Calima Darién,2008,189,,,,,20,,8,,85,,,,,32,,1,10,,
Candelaria,2008,0,0,0,0,0,27,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cartago,2008,0,0,25,0,0,70,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Dagua,2008,50,0,127,22,14,75,0,0,8,85,0,0,0,0,0,0,486,0,3,0
El Aguila,2008,3,0,11,0,0,5,0,7,0,10,0,0,0,0,20,0,0,0,5,0
El Cairo,2008,8,0,616,0,0,0,0,3,0,2,0,0,0,0,2,0,0,3,0,0
El Cerrito,2008,12,0,11,0,0,17,0,0,0,0,0,15,0,0,10,0,0,0,0,150
El Dovio,2008,0,,60,,,,,11,,50,,2,,,1.5,,,2.5,0,0
Florida,2008,2,0,138,0,0,93,0,0,14,28,9,0,0,0,49,0,0,0,16,0
Ginebra,2008,0,0,120,0,0,25,0,5,0,25,0,0,0,0,90,0,0,0,25,300
Guacarì,2008,28,0,233,0,0,57,0,0,18,56,0,41,0,0,93,54,0,0,20,179
Jamundì,2008,3,0,21,0,3,474,0,0,6,17,25,26,0,0,153,16,,0,4,0
La Cumbre,2008,28,0,233,0,0,57,0,0,18,56,0,41,0,0,93,24,74,17,20,179
La Uniòn,2008,0,0,29,0,0,0,0,0,11,0,0,297,130,100,0,440,0,0,0,1250
La Victoria,2008,0,0,170,0,7,50,0,0,0,0,11,40,0,0,0,61,0,0,0,2
Obando,2008,4,0,206,0,,105,0,0,,0,5,0,0,0,0,0,0,0,0,0
Palmira,2008,51,0,62,0,0,63,0,0,8,5.5,25,11.5,0,0,9.5,0,5,0,15.5,10
Pradera,2008,4,0,30,0,0,25,0,0,30,5,0,0,0,0,5,0,0,0,5,0
Restrepo,2008,51,6,51,,,20,,2,,62,,8.5,,,6,,410,23,4,
Riofrìo,2008,5,0,380,0,0,61,0,3,1,82,3,0,0,0,20,14,0,3,0,0
Roldanillo,2008,140,0,0,0,0,89,0,0,0,36,0,260,70,70,0,120,0,45,0,70
San Pedro,2008,16,0,68,0,0,25.5,0,0,5.7,16,6,8.5,0,0,11,5,0,0,7,0
Sevilla,2008,0,0,1430,0,0,630,0,7,0,40,0,0,0,0,12,0,0,0,0,0
Toro,2008,7,0,14,0,0,85,0,5,340,4,0,0,0,62,0,100,0,0,0,380
Trujillo,2008,26,0,351,0,0,10,0,0,0,13,0,0,6,,116,,0,6,0,0
Tuluà,2008,22,0,533,0,0,140,0,0,,150,,110,0,0,95,130,0,0,52,10
Ulloa,2008,59,4,28,0,0,177,0,0,0,0,0,0,0,0,0,0,29,0,0,0
Versalles,2008,0,0,91,0,0,0,0,39,0,57,0,4,0,0,3.2,0,0,0,4,0
Vijes,2008,14,0,20,0,0,17,0,0,0,,8,0,0,0,0,18,130,0,0,0
Yotoco,2008,100,0,0,0,0,29,0,0,0,9,0,0,0,0,0,41,0,10,0,0
Yumbo,2008,26,0,17,0,0,57,0,,18,1,20,8,0,0,0,7,9,1,1,3
Zarzal,2008,0,0,0,0,0,239,0,0,48,0,2,24,15,5,0,670,0,0,0,0
Cali,2007,17,0,15,0,0,40,0,0,0,15,7.5,0,0,0,3,0,0,0,22,0
Alcalà,2007,55,6,99,0,0,335.7,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Andalucia,2007,62,0,0,0,0,364,0,0,10.6,0,0,176,0,0,0,93,0,0,0,0
Ansermanuevo,2007,18.3,0,30.2,0,0,32.5,0,15,18,0,10,0,0,0,12,50,0,13,0,0
Argelia,2007,111,0,158,0,0,26,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Bolivar,2007,26,0,48,0,0,29.4,0,31,0,140,0,134.5,70,50,22,104,35,45,36,9.5
Buenaventura,2007,0,361,127,807,3463,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2007,11,0,119,0,0,80,0,4,35,45,20,13,0,0,48,10,65,0,111,1
Bugalagrande,2007,43,0,590,0,0,460,0,14,50,0,0,18,0,0,0,0,0,7,0,0
Caicedonia,2007,184,0,233,0,0,1071,0,4,10,0,0,58,0,0,0,0,0,0,0,0
Candelaria,2007,0,0,0,0,0,10,0,0,0,0,0,49,0,0,0,0,0,0,0,0
Cartago,2007,0,0,25,0,0,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Dagua,2007,50,0,153,22,19,83,0,0,8,129,0,0,0,0,0,0,520,0,5,0
Darièn,2007,199,0,0,0,0,30,0,6,0,76.5,0,0,0,0,28.5,0,0,14,2,0
El Aguila,2007,0,0,11.1,0,0,10,0,18,0,12,0,0,0,0,54,0,0,0,17,0
El Cairo,2007,0,0,41,0,0,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0
El Cerrito,2007,0,0,11,0,0,17,0,0,0,0,0,45,0,0,16,0,0,0,0,170
El Dovio,2007,0,0,59,0,0,6,0,15,0,55,0,2,0,0,3,0,0,2,0,0
Florida,2007,7.2,0,136,0,0,99,0,0,16,14,0,0,0,0,24.5,0,0,0,8,0
Ginebra,2007,0,0,120,0,0,25,0,5,0,25,0,0,0,0,90,0,0,0,25,300
Guacarì,2007,28,0,353,0,0,0,0,0,23,56,0,41,0,0,85,24,0,0,11,169
Jamundì,2007,7,0,20,0,2.5,514,0,0,8,17,25,25,0,0,153,10,10,0,4,0
La Cumbre,2007,0,0,45,0,0,5.5,0,0,0,36,0,0,0,0,0,0,50,17,0,0
La Uniòn,2007,0,0,29,0,0,0,0,0,9.7,0,0,297,130,100,0,440,0,0,0,1200
La Victoria,2007,0,0,170,0,10,20,0,0,0,0,6.5,30,0,0,0,9,0,0,0,2
Obando,2007,4,0,310.5,0,2,60,0,0,2,0,5,0,0,0,0,0,0,0,0,0
Palmira,2007,51,0,62,0,0,63,0,0,8,5.5,25,11.5,0,0,9.5,0,5,0,15.5,10
Pradera,2007,4,0,50,0,0,25,0,0,34,5,0,0,0,0,5,0,0,0,5,0
Restrepo,2007,48,5,47,0,0,17,0,4,0,76,0,6,0,0,5,0,380,20,4,0
Riofrìo,2007,4.9,0,380,0,0,61,0,3,1,82,3,0,0,0,20,14,0,3,0,0
Roldanillo,2007,132,0,0,0,0,88,0,0,0,28,0,300,50,65,0,100,0,42,0,70
San Pedro,2007,14,0,68,0,0,24.5,0,0,5.7,16,6,6.5,0,0,9,5,0,0,7,0
Sevilla,2007,0,0,1300,0,0,630,0,10.5,0,80,0,0,0,0,12,0,0,0,0,0
Toro,2007,7,0,17,0,0,85,0,5,340,6,0,0,0,62,0,160,0,0,0,340
Trujillo,2007,19,0,316,0,0,10,0,0,0,13,0,0,5,6,270,8,0,4,0,0
Tuluà,2007,22.5,0,583,0,0,180,0,0,51,150,27,140,0,0,95,130,0,0,52,10.5
Ulloa,2007,44,0,22,0,0,192,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Versalles,2007,0,0,90.5,0,0,0,0,45,0,62,0,3.5,0,0,3.5,0,0,0,4.5,0
Vijes,2007,4,0,17,0,0,16,0,0,0,8,10,0,0,0,0,8,80,0,0,0
Yotoco,2007,98,0,0,0,0,30,0,0,0,4.5,0,0,0,0,0,37,0,9.5,0,0
Yumbo,2007,26,0,16.6,0,0,52,0,1.1,18.4,1.2,19,9.5,0,0,0,7,7,0.7,0.6,3.4
Zarzal,2007,0,0,0,0,0,239,0,0,48,0,0,20,0,0,0,78,0,0,0,0
Cali,2006,15.3,0,7,0,0,100,0,0,0,10,0,0,0,0,10.6,0,0,0,12.7,0
Alcalà,2006,55,4,109,0,0,335.7,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Andalucia,2006,10,0,0,0,0,360,0,0,8,0,0,73,0,0,0,36,0,0,0,0
Ansermanuevo,2006,15.3,0,30.2,0,0,32.5,0,15,15,0,5,0,0,0,12,0,0,13,3.5,0
Argelia,2006,88,0,138,0,0,21,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Bolivar,2006,20,0,47,0,0,22.4,0,30,4.5,110,0,124.5,90,45,20,56,25,43,25,8.5
Buenaventura,2006,0,364,130,813,3472,0,341,0,0,0,0,0,0,0,0,0,3,0,0,0
Buga,2006,10,0,109,0,0,73,0,4,32,50,20,13,0,0,43,25,65,0,202,1
Bugalagrande,2006,40,0,560,0,0,415,0,6,50,28,0,18,0,0,0,9,0,0,0,0
Caicedonia,2006,175,0,250,0,0,974,0,0,5,0,0,24,0,0,0,0,0,0,0,0
Candelaria,2006,0,0,0,0,0,10,0,0,0,0,0,49,0,0,0,0,0,0,0,0
Cartago,2006,0,0,25,0,0,69.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Dagua,2006,50,0,158,22,21,90,0,0,12,141,0,0,0,0,0,0,515,0,17.5,0
Darièn,2006,207,0,0,0,0,35,0,0,0,35,0,0,0,0,29.5,0,0,14,0,0
El Aguila,2006,0,0,8.1,0,0,10,0,21,0,12,0,0,0,0,51,0,0,0,21,0
El Cairo,2006,0,0,41,0,0,0,0,6,0,8,0,0,0,0,11,0,0,0,0,0
El Cerrito,2006,0,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,230
El Dovio,2006,0,0,65,0,0,5,0,13,0,50,0,2,0,0,2,0,0,3,0,0
Florida,2006,10.2,0,137,0,0,95,0,0,16,27,21.3,0,0,0,47.5,0,0,0,11,0
Ginebra,2006,0,0,120,0,0,25,0,5,0,25,0,0,0,0,90,0,0,0,25,300
Guacarì,2006,30,0,345,0,0,66,0,0,22,50,0,53,0,0,85,7,0,0,8,170
Jamundì,2006,8.5,0,20,0,2.5,319,0,0,8,25,45,8.5,0,0,93,26,15,0,5,0
La Cumbre,2006,0,0,40,0,0,4.5,0,0,0,30.2,0,0,0,0,0,0,40,17,0,0
La Uniòn,2006,0,0,25,0,0,58,0,0,7.7,0,10,150,80,100,0,300,0,0,0,1000
La Victoria,2006,0,0,0,0,10,20,0,0,0,0,0,10,0,0,0,0,0,0,0,2
Obando,2006,4.5,0,300.5,0,0,65.3,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0
Palmira,2006,25,0,69,0,0,63,0,0,8,9.6,0,8,0,0,30,0,19,0,20,10
Pradera,2006,4,0,50,0,0,25,0,0,34,5,0,0,0,0,5,0,0,0,5,0
Restrepo,2006,38,3,44,0,0,15,0,3,0,74,0,4,0,0,4,2,350,30,3,0
