Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Toro,2018,59.0,0.0,5.0,0.0,0.0,3.0,0.0,12.0,12.0,148.0,7.0,0.0,20.0,28.0,28.0,0.0,37.0,31.0,0.0,0.0,295.0
Trujillo,2018,107.0,0.0,623.0,0.0,0.0,20.0,0.0,0.0,3.5,3.0,8.0,0.0,11.0,0.0,0.0,50.0,15.0,0.0,21.0,0.0,5.0
Tuluà,2018,13.0,0.0,528.0,0.0,0.0,51.0,0.0,11.0,7.0,0.0,102.0,5.0,10.0,0.0,0.0,99.5,30.0,0.0,0.0,37.0,6.0
Ulloa,2018,104.7,0.0,119.8,0.0,0.0,73.6,0.0,0.0,0.0,0.0,4.0,0.0,1.6,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0
Versalles,2018,53.5,0.0,101.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,16.0,0.0,6.0,0.0,0.0,37.1,0.0,0.0,7.5,0.0,0.0
Vijes,2018,18.0,0.0,35.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,0.0,0.0,0.0,40.0,300.0,0.0,0.0,0.0
Yotoco,2018,42.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,17.9,4.0,20.0,10.0,0.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0
Yumbo,2018,22.0,0.0,12.7,0.0,0.0,58.0,0.0,2.5,4.4,5.9,0.0,30.0,1.2,0.0,0.0,1.7,14.6,9.6,1.0,0.0,113.0
Zarzal,2018,0.0,0.0,0.0,0.0,0.0,85.3,0.0,0.0,9.5,6.5,0.0,15.3,0.0,4.0,4.0,0.0,3.7,0.0,0.0,0.0,0.0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2017,5.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0
Alcalá,2017,60.0,0.0,125.2,0.0,0.0,310.3,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
Andalucia,2017,50.0,0.0,25.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Ansermanuevo,2017,38.0,0.0,33.0,0.0,0.0,3.0,0.0,29.0,14.5,0.5,0.0,12.0,5.0,0.0,0.0,1.5,0.0,0.0,6.0,0.0,0.0
Argelia,2017,233.0,0.0,135.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
Bolivar,2017,40.0,0.0,137.0,0.0,6.0,34.0,0.0,15.0,21.0,170.0,280.0,4.0,48.0,35.0,35.0,20.0,46.0,21.0,17.0,25.0,33.0
Buenaventura,2017,0.0,352.0,105.0,776.0,500.0,0.0,317.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Buga,2017,16.0,0.0,87.0,0.0,0.0,17.0,0.0,11.0,0.0,2.0,4.0,5.0,4.0,0.0,0.0,6.0,17.0,75.0,0.0,3.0,2.0
Bugalagrande,2017,30.0,0.0,0.0,0.0,0.0,563.0,0.0,7.0,40.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Caicedonia,2017,311.0,0.0,435.0,0.0,0.0,"1,958.0",0.0,0.0,80.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Calima Darién,2017,26.5,0.0,5.5,0.0,0.0,8.0,0.0,0.0,0.0,5.0,90.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2017,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,15.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2017,21.2,0.0,30.0,0.0,0.0,126.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Dagua,2017,80.0,0.0,115.0,0.0,17.0,55.0,0.0,0.0,8.0,5.0,53.0,0.0,160.0,0.0,0.0,0.0,0.0,770.0,9.0,0.0,0.0
El Aguila,2017,22.0,0.0,13.0,0.0,0.0,3.5,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0
El Cairo,2017,57.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.7,0.0,4.5,0.0,0.0,30.0,0.0,0.0,0.0,1.5,0.0
El Cerrito,2017,40.0,0.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,283.0
El Dovio,2017,7.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2017,9.0,0.0,136.0,0.0,0.0,95.0,0.0,16.0,4.0,13.0,0.0,4.5,7.0,0.0,0.0,52.0,11.0,77.0,1.0,5.0,0.0
Ginebra,2017,0.0,0.0,158.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,100.0,11.0,0.0,0.0,0.0,71.0
Guacarì,2017,48.0,0.0,235.0,0.0,0.0,62.0,0.0,0.0,19.0,0.0,37.0,0.0,71.0,0.0,0.0,31.0,322.0,0.0,0.0,26.0,199.0
Jamundì,2017,5.0,0.0,5.0,0.0,0.0,442.0,0.0,0.0,4.0,6.0,5.0,23.0,11.5,0.0,0.0,6.5,2.0,18.0,0.0,6.0,0.0
La Cumbre,2017,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,1.5,155.0,0.0,0.0,0.0
La Uniòn,2017,21.5,0.0,31.1,0.0,0.0,27.0,0.0,0.0,7.3,248.0,5.5,6.0,17.0,20.0,20.0,0.0,66.5,19.2,6.4,0.0,732.8
La Victoria,2017,22.0,0.0,68.0,0.0,0.0,84.0,0.0,0.0,2.0,25.0,0.0,45.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
Obando,2017,26.0,0.0,446.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,19.5,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Palmira,2017,123.0,0.0,107.0,0.0,0.0,75.0,0.0,7.0,0.0,10.0,20.2,0.0,6.7,0.0,0.0,3.0,0.0,0.0,0.0,2.4,2.0
Pradera,2017,2.0,0.0,30.0,0.0,0.0,25.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,5.0,0.0
Restrepo,2017,76.2,25.0,68.0,0.0,0.0,13.0,0.0,1.0,0.0,10.0,86.0,0.0,18.0,0.0,0.0,4.0,0.0,590.0,29.0,1.0,0.0
Riofrìo,2017,28.0,0.0,536.0,0.0,0.0,8.0,0.0,0.0,4.0,6.0,85.0,9.0,0.0,0.0,0.0,20.0,0.0,6.0,5.0,0.0,0.0
Roldanillo,2017,29.0,0.0,42.0,0.0,0.0,32.0,0.0,7.0,14.3,197.0,10.0,0.0,66.0,30.0,17.0,5.0,32.8,41.0,9.0,0.0,52.6
San Pedro,2017,23.0,0.0,69.0,0.0,0.0,29.0,0.0,31.0,17.0,0.0,24.0,7.5,40.0,0.0,0.0,26.0,45.0,0.0,0.0,25.0,0.0
Sevilla,2017,384.0,0.0,700.0,0.0,0.0,800.0,0.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Toro,2017,15.0,0.0,4.0,0.0,0.0,2.0,0.0,10.0,12.0,129.0,5.0,0.0,20.0,28.0,23.0,0.0,30.0,20.0,0.0,0.0,290.0
Trujillo,2017,113.0,0.0,629.0,0.0,0.0,25.0,0.0,0.0,3.5,3.0,9.5,0.0,9.0,0.0,0.0,58.5,11.5,0.0,22.0,0.0,9.0
Tuluà,2017,12.0,0.0,523.0,0.0,0.0,51.0,0.0,5.0,7.0,0.0,90.0,5.0,8.0,0.0,0.0,80.5,25.5,0.0,0.0,69.0,6.0
Ulloa,2017,82.5,0.0,100.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Versalles,2017,53.5,0.0,97.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,16.0,0.0,8.0,0.0,0.0,34.1,0.0,0.0,7.5,0.0,0.0
Vijes,2017,17.0,0.0,40.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,40.0,288.0,0.0,0.0,0.0
Yotoco,2017,41.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,15.9,5.2,0.0,15.0,0.0,0.0,0.0,14.0,36.0,3.0,0.0,0.0
Yumbo,2017,28.0,0.0,12.7,0.0,0.0,58.4,0.0,2.0,4.0,11.3,0.0,22.0,0.7,2.0,3.0,1.0,0.8,5.0,1.5,0.5,82.0
Zarzal,2017,0.0,0.0,0.0,0.0,0.0,81.3,0.0,0.0,9.5,6.5,0.0,0.0,0.0,3.0,3.0,0.0,8.7,57.0,0.0,0.0,0.0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2016,3.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0
Alcalá,2016,28.0,127.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0
Andalucia,2016,25.0,15.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Ansermanuevo,2016,25.4,18.0,0.0,0.0,3.0,0.0,0.0,26.0,10.0,0.5,1.5,12.0,1.0,0.0,0.0,1.5,0.0,0.0,8.0,0.0,0.0
Argelia,2016,227.0,40.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
Bolivar,2016,40.0,124.0,0.0,0.0,44.0,6.0,0.0,30.0,21.0,190.0,278.0,0.0,70.0,55.0,45.0,23.0,30.0,55.0,20.0,32.0,30.0
Buenaventura,2016,0.0,124.0,390.0,776.0,0.0,910.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2016,12.0,85.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,2.0,4.0,5.0,4.0,0.0,0.0,6.0,17.0,75.0,0.0,3.0,2.0
Bugalagrande,2016,27.0,0.0,0.0,0.0,570.0,0.0,0.0,9.0,45.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Caicedonia,2016,312.0,392.0,0.0,0.0,"1,949.0",0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Calima Darién,2016,26.5,5.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,97.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2016,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2016,21.2,30.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Dagua,2016,50.0,89.0,0.0,0.0,87.0,17.0,0.0,0.0,5.0,5.0,35.0,0.0,23.0,0.0,0.0,0.0,0.0,"1,130.0",6.0,0.0,0.0
El Aguila,2016,20.0,8.0,0.0,0.0,3.5,0.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,5.0,0.0,6.5,0.0,5.0,0.0
El Cairo,2016,56.0,20.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.2,0.0,2.5,0.0,0.0,25.0,0.0,0.0,0.0,1.5,0.0
El Cerrito,2016,41.0,15.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,283.0
El Dovio,2016,5.5,41.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,42.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2016,8.0,148.5,0.0,0.0,94.0,0.0,0.0,13.5,4.0,9.0,0.0,5.0,7.5,0.0,0.0,56.0,15.0,7.0,1.0,4.5,0.0
Ginebra,2016,0.0,145.0,0.0,0.0,29.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,195.0,11.0,0.0,0.0,0.0,61.0
Guacarì,2016,43.0,232.0,0.0,0.0,57.0,0.0,0.0,0.0,16.0,0.0,33.0,0.0,58.0,0.0,0.0,35.0,209.0,0.0,0.0,15.0,189.0
Jamundì,2016,5.0,7.0,0.0,0.0,453.0,0.0,0.0,0.0,4.0,10.0,6.0,23.0,16.5,0.0,0.0,7.5,7.0,18.5,0.0,3.0,0.0
La Cumbre,2016,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
La Uniòn,2016,21.2,25.5,0.0,0.0,19.5,0.0,0.0,0.0,9.0,245.9,8.5,0.0,12.0,45.0,47.0,0.0,144.4,0.0,0.0,0.0,877.0
La Victoria,2016,25.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Obando,2016,26.6,441.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Palmira,2016,103.0,127.0,0.0,0.0,75.0,0.0,0.0,6.7,0.0,10.0,40.2,0.0,6.7,0.0,0.0,9.0,0.0,0.0,0.0,3.6,9.0
Pradera,2016,2.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,30.0,3.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,5.0,0.0
Restrepo,2016,68.0,65.0,27.0,0.0,16.0,0.0,0.0,1.0,0.0,11.0,79.0,0.0,17.0,0.0,0.0,8.0,0.0,465.0,28.0,1.0,0.0
Riofrìo,2016,29.0,534.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,6.0,168.0,9.0,0.0,0.0,0.0,31.0,0.0,4.0,5.0,0.0,0.0
Roldanillo,2016,29.0,30.0,0.0,0.0,16.0,0.0,0.0,7.0,14.3,193.0,10.0,0.0,76.0,61.8,38.6,5.0,133.8,29.0,9.0,0.0,47.6
San Pedro,2016,21.0,67.0,0.0,0.0,32.0,0.0,0.0,38.0,12.0,0.0,26.5,7.0,35.0,0.0,0.0,20.0,40.0,0.0,0.0,21.5,0.0
Sevilla,2016,320.0,"1,810.0",0.0,0.0,"1,187.0",0.0,0.0,15.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Toro,2016,12.0,4.0,0.0,0.0,2.0,0.0,0.0,10.0,15.0,132.0,5.0,0.0,20.0,27.0,30.0,0.0,27.0,10.0,0.0,0.0,340.0
Trujillo,2016,70.0,631.0,0.0,0.0,25.0,0.0,0.0,0.0,4.0,4.0,14.0,0.0,0.0,1.5,0.0,75.0,4.0,0.0,13.0,0.0,8.5
Tuluà,2016,12.0,520.0,0.0,0.0,53.0,0.0,0.0,6.0,7.0,0.0,96.0,5.0,8.0,0.0,0.0,97.5,22.0,0.0,0.0,40.0,6.0
Ulloa,2016,81.5,103.8,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Versalles,2016,47.0,97.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,22.0,0.0,10.0,0.0,0.0,33.6,0.0,0.0,5.0,0.0,0.0
Vijes,2016,17.0,38.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,40.0,288.0,0.0,0.0,0.0
Yotoco,2016,41.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0,20.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0
Yumbo,2016,27.0,7.0,0.0,0.0,62.1,0.0,0.0,3.0,4.7,16.7,0.0,24.0,3.0,10.0,8.0,1.7,0.8,2.0,1.5,0.5,82.0
Zarzal,2016,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,9.5,5.6,0.0,0.0,21.0,40.0,35.0,0.0,8.7,0.0,0.0,0.0,0.0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2015,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0
Alcalá,2015,45.0,153.0,1.0,0.0,372.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0
Andalucia,2015,25.0,20.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Ansermanuevo,2015,40.0,18.0,0.0,0.0,5.0,0.0,0.0,36.0,10.0,0.5,4.5,12.0,1.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0
Argelia,2015,267.8,115.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2015,42.0,91.0,0.0,0.0,43.0,6.0,0.0,40.0,20.0,220.0,268.0,0.0,110.0,47.0,40.0,26.0,36.0,47.0,25.0,33.0,30.0
Buenaventura,2015,0.0,122.0,370.0,776.0,0.0,"1,624.0",317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2015,10.0,87.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
Bugalagrande,2015,27.0,0.0,0.0,0.0,593.0,0.0,0.0,9.0,45.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Caicedonia,2015,275.0,378.0,0.0,0.0,"1,927.0",0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0
Calima Darién,2015,24.0,8.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,5.0,73.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,8.0,0.0
Candelaria,2015,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2015,18.2,30.0,0.0,0.0,115.5,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0
Dagua,2015,65.0,119.0,0.0,0.0,95.0,17.0,0.0,4.5,6.0,5.0,30.0,0.0,26.0,0.0,0.0,0.0,0.0,"1,200.0",6.0,0.0,0.0
El Aguila,2015,15.0,11.0,0.0,0.0,3.5,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,3.5,0.0,5.0,0.0
El Cairo,2015,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2015,40.0,15.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,280.0
